Method,ClusterSize,InternalDensity,ExternalDensity,Precision,Recall,F1,Density,RMCScore,Runtime
L-RMC,50,0.8,0.05,1.000,0.940,0.969,0.824,1645,4
k-core,50,0.8,0.05,1.000,1.000,1.000,0.813,1750,11
Densest,50,0.8,0.05,1.000,1.000,1.000,0.813,1750,480
L-RMC,50,0.8,0.07,1.000,0.780,0.876,0.854,1131,6
k-core,50,0.8,0.07,1.000,0.980,0.990,0.811,1666,16
Densest,50,0.8,0.07,1.000,1.000,1.000,0.804,1550,570
L-RMC,50,0.8,0.10,1.000,0.780,0.876,0.868,1170,9
k-core,50,0.8,0.10,1.000,0.920,0.958,0.838,1564,27
Densest,50,0.8,0.10,1.000,1.000,1.000,0.816,1650,696
L-RMC,50,0.8,0.15,1.000,0.760,0.864,0.859,1064,16
k-core,50,0.8,0.15,1.000,0.980,0.990,0.808,1666,52
Densest,50,0.8,0.15,1.000,1.000,1.000,0.802,1650,892
L-RMC,50,0.9,0.01,1.000,0.900,0.947,0.927,1710,2
k-core,50,0.9,0.01,1.000,1.000,1.000,0.912,2050,2
Densest,50,0.9,0.01,1.000,1.000,1.000,0.912,2050,321
L-RMC,50,0.9,0.03,1.000,0.900,0.947,0.919,1710,3
k-core,50,0.9,0.03,1.000,1.000,1.000,0.901,1950,6
Densest,50,0.9,0.03,1.000,1.000,1.000,0.901,1950,416
L-RMC,50,0.9,0.05,1.000,0.920,0.958,0.926,1794,4
k-core,50,0.9,0.05,1.000,1.000,1.000,0.908,1950,10
Densest,50,0.9,0.05,1.000,1.000,1.000,0.908,1950,485
L-RMC,50,0.9,0.07,1.000,0.840,0.913,0.931,1512,6
k-core,50,0.9,0.07,1.000,0.980,0.990,0.907,1911,16
Densest,50,0.9,0.07,1.000,1.000,1.000,0.902,1900,578
L-RMC,50,0.9,0.10,1.000,0.900,0.947,0.917,1710,9
k-core,50,0.9,0.10,1.000,0.980,0.990,0.905,1960,29
Densest,50,0.9,0.10,1.000,1.000,1.000,0.900,1950,699
L-RMC,50,0.9,0.15,1.000,0.860,0.925,0.916,1548,16
k-core,50,0.9,0.15,1.000,1.000,1.000,0.892,2000,53
Densest,50,0.9,0.15,1.000,1.000,1.000,0.892,2000,912
L-RMC,100,0.6,0.01,1.000,0.540,0.701,0.692,1782,3
k-core,100,0.6,0.01,1.000,0.990,0.995,0.597,4851,3
Densest,100,0.6,0.01,1.000,1.000,1.000,0.594,4700,415
L-RMC,100,0.6,0.03,1.000,0.500,0.667,0.704,1550,5
k-core,100,0.6,0.03,1.000,0.980,0.990,0.604,4900,9
Densest,100,0.6,0.03,1.000,1.000,1.000,0.599,4700,572
L-RMC,100,0.6,0.05,1.000,0.520,0.684,0.692,1664,8
k-core,100,0.6,0.05,1.000,1.000,1.000,0.604,5100,17
Densest,100,0.6,0.05,1.000,1.000,1.000,0.604,5100,726
L-RMC,100,0.6,0.07,1.000,0.440,0.611,0.720,1232,11
k-core,100,0.6,0.07,1.000,1.000,1.000,0.601,4900,28
Densest,100,0.6,0.07,1.000,1.000,1.000,0.601,4900,884
L-RMC,100,0.6,0.10,1.000,0.450,0.621,0.745,1350,18
k-core,100,0.6,0.10,1.000,0.960,0.980,0.612,4608,50
Densest,100,0.6,0.10,1.000,1.000,1.000,0.602,4600,1127
L-RMC,100,0.6,0.15,1.000,0.510,0.675,0.729,1632,32
