Method,ClusterSize,InternalDensity,ExternalDensity,Precision,Recall,F1,Density,RMCScore,Runtime
L-RMC,100,0.6,0.25,1.000,0.091,0.167,1.000,74,10562
k-core,100,0.6,0.25,0.040,1.000,0.077,0.251,1375500,3
Densest,100,0.6,0.25,1.000,0.953,0.976,0.600,4432,19558
L-RMC,100,0.6,0.35,0.965,0.088,0.161,1.000,74,17249
k-core,100,0.6,0.35,0.040,1.000,0.077,0.350,1974750,3
Densest,100,0.6,0.35,0.891,0.557,0.684,0.633,2068,27677
L-RMC,100,0.6,0.45,0.054,0.005,0.009,1.000,75,24005
k-core,100,0.6,0.45,0.040,1.000,0.077,0.450,2597750,1
Densest,100,0.6,0.45,0.109,0.351,0.152,0.532,99867,40317
L-RMC,100,0.7,0.25,1.000,0.122,0.217,1.000,138,11348
k-core,100,0.7,0.25,0.040,1.000,0.077,0.251,1375500,1
Densest,100,0.7,0.25,1.000,0.994,0.997,0.697,5656,20051
L-RMC,100,0.7,0.35,1.000,0.126,0.224,1.000,147,16811
k-core,100,0.7,0.35,0.040,1.000,0.077,0.351,1974750,2
Densest,100,0.7,0.35,1.000,0.925,0.961,0.702,4933,27356
L-RMC,100,0.7,0.45,0.799,0.086,0.155,1.000,101,22881
k-core,100,0.7,0.45,0.040,1.000,0.077,0.450,2597750,3
Densest,100,0.7,0.45,0.722,0.500,0.579,0.693,4879,34941
L-RMC,100,0.8,0.25,1.000,0.167,0.286,1.000,262,11387
k-core,100,0.8,0.25,0.040,1.000,0.077,0.251,1375500,3
Densest,100,0.8,0.25,1.000,0.999,0.999,0.796,6793,20097
L-RMC,100,0.8,0.35,1.000,0.169,0.289,1.000,269,16691
k-core,100,0.8,0.35,0.040,1.000,0.077,0.351,1974750,1
Densest,100,0.8,0.35,1.000,0.985,0.992,0.797,6628,27421
L-RMC,100,0.8,0.45,1.000,0.164,0.282,1.000,253,23620
k-core,100,0.8,0.45,0.040,1.000,0.077,0.451,2597750,3
Densest,100,0.8,0.45,1.000,0.916,0.956,0.800,5747,34717
L-RMC,100,0.9,0.25,1.000,0.257,0.408,1.000,641,11478
k-core,100,0.9,0.25,0.040,1.000,0.077,0.251,1375500,3
Densest,100,0.9,0.25,1.000,0.999,0.999,0.899,8101,20084
L-RMC,100,0.9,0.35,1.000,0.259,0.411,1.000,649,16806
k-core,100,0.9,0.35,0.040,1.000,0.077,0.351,1974750,3
Densest,100,0.9,0.35,1.000,0.997,0.998,0.899,8065,27307
L-RMC,100,0.9,0.45,1.000,0.265,0.418,1.000,680,22369
k-core,100,0.9,0.45,0.040,1.000,0.077,0.451,2597750,2
Densest,100,0.9,0.45,1.000,0.979,0.989,0.900,7784,34760
L-RMC,150,0.6,0.25,1.000,0.067,0.126,1.000,92,11156
k-core,150,0.6,0.25,0.060,1.000,0.113,0.251,1378250,3
Densest,150,0.6,0.25,1.000,0.997,0.999,0.599,11086,19942
L-RMC,150,0.6,0.35,1.000,0.070,0.131,1.000,100,16798
k-core,150,0.6,0.35,0.060,1.000,0.113,0.351,1974250,1
Densest,150,0.6,0.35,0.996,0.945,0.970,0.603,10142,27301
L-RMC,150,0.6,0.45,0.248,0.016,0.030,1.000,86,23437
k-core,150,0.6,0.45,0.060,1.000,0.113,0.451,2593750,3
Densest,150,0.6,0.45,0.294,0.411,0.326,0.559,36532,34746
L-RMC,150,0.7,0.25,1.000,0.090,0.165,1.000,170,11361
k-core,150,0.7,0.25,0.060,1.000,0.113,0.252,1378250,2
Densest,150,0.7,0.25,1.000,1.000,1.000,0.698,13305,19980
L-RMC,150,0.7,0.35,1.000,0.091,0.166,1.000,173,17927
k-core,150,0.7,0.35,0.060,1.000,0.113,0.351,1974250,2
Densest,150,0.7,0.35,1.000,0.999,0.999,0.698,13258,27197
L-RMC,150,0.7,0.45,1.000,0.088,0.162,1.000,162,22929
k-core,150,0.7,0.45,0.060,1.000,0.113,0.451,2593750,2
