Method,ClusterSize,InternalDensity,ExternalDensity,Precision,Recall,F1,Density,RMCScore,Runtime
k-core,200,0.7,0.35,0.080,1.000,0.148,0.352,1980750,2
Densest,200,0.7,0.35,1.000,1.000,1.000,0.699,24040,28873
L-RMC,200,0.7,0.45,1.000,0.759,0.862,0.730,15622,39596
k-core,200,0.7,0.45,0.080,1.000,0.148,0.452,2592750,2
Densest,200,0.7,0.45,1.000,0.991,0.995,0.700,23665,36845
L-RMC,200,0.8,0.25,1.000,0.782,0.877,0.824,19029,17683
k-core,200,0.8,0.25,0.080,1.000,0.148,0.253,1380750,2
Densest,200,0.8,0.25,1.000,1.000,1.000,0.799,28560,20979
L-RMC,200,0.8,0.35,1.000,0.782,0.877,0.824,19029,27416
k-core,200,0.8,0.35,0.080,1.000,0.148,0.353,1980750,2
Densest,200,0.8,0.35,1.000,1.000,1.000,0.799,28560,28896
L-RMC,200,0.8,0.45,1.000,0.782,0.877,0.824,19029,39415
k-core,200,0.8,0.45,0.080,1.000,0.148,0.452,2592750,2
Densest,200,0.8,0.45,1.000,1.000,1.000,0.799,28560,36774
L-RMC,200,0.9,0.25,1.000,0.862,0.926,0.912,26013,17873
k-core,200,0.9,0.25,0.080,1.000,0.148,0.254,1380750,2
Densest,200,0.9,0.25,1.000,1.000,1.000,0.900,33300,21017
L-RMC,200,0.9,0.35,1.000,0.862,0.926,0.912,26013,27768
k-core,200,0.9,0.35,0.080,1.000,0.148,0.354,1980750,2
Densest,200,0.9,0.35,1.000,1.000,1.000,0.900,33300,28964
L-RMC,200,0.9,0.45,1.000,0.862,0.926,0.912,26013,39615
k-core,200,0.9,0.45,0.080,1.000,0.148,0.453,2592750,2
Densest,200,0.9,0.45,1.000,1.000,1.000,0.900,33300,36879
