Method,ClusterSize,InternalDensity,ExternalDensity,Precision,Recall,F1,Density,RMCScore,Runtime
L-RMC,100,0.6,0.25,1.000,0.739,0.849,0.644,3091,16693
k-core,100,0.6,0.25,0.040,1.000,0.077,0.251,1375500,5
Densest,100,0.6,0.25,1.000,0.953,0.976,0.600,4432,22212
L-RMC,100,0.6,0.35,0.776,0.564,0.647,0.599,3185,32053
k-core,100,0.6,0.35,0.040,1.000,0.077,0.350,1974750,2
Densest,100,0.6,0.35,0.891,0.557,0.684,0.633,2068,30406
L-RMC,100,0.6,0.45,0.094,0.101,0.097,0.610,6777,45959
k-core,100,0.6,0.45,0.040,1.000,0.077,0.450,2597750,2
Densest,100,0.6,0.45,0.109,0.351,0.152,0.532,99867,38755
L-RMC,100,0.7,0.25,1.000,0.732,0.844,0.745,3608,20839
k-core,100,0.7,0.25,0.040,1.000,0.077,0.251,1375500,2
Densest,100,0.7,0.25,1.000,0.994,0.997,0.697,5656,22012
L-RMC,100,0.7,0.35,1.000,0.734,0.846,0.741,3592,32325
k-core,100,0.7,0.35,0.040,1.000,0.077,0.351,1974750,2
Densest,100,0.7,0.35,1.000,0.925,0.961,0.702,4933,30132
L-RMC,100,0.7,0.45,0.614,0.467,0.524,0.674,4409,45091
k-core,100,0.7,0.45,0.040,1.000,0.077,0.450,2597750,2
Densest,100,0.7,0.45,0.722,0.500,0.579,0.693,4879,38410
L-RMC,100,0.8,0.25,1.000,0.758,0.861,0.835,4438,20953
k-core,100,0.8,0.25,0.040,1.000,0.077,0.251,1375500,2
Densest,100,0.8,0.25,1.000,0.999,0.999,0.796,6793,21744
L-RMC,100,0.8,0.35,1.000,0.747,0.854,0.836,4317,32603
k-core,100,0.8,0.35,0.040,1.000,0.077,0.351,1974750,3
Densest,100,0.8,0.35,1.000,0.985,0.992,0.797,6628,30427
L-RMC,100,0.8,0.45,1.000,0.734,0.846,0.832,4105,43396
k-core,100,0.8,0.45,0.040,1.000,0.077,0.451,2597750,3
Densest,100,0.8,0.45,1.000,0.916,0.956,0.800,5747,39330
L-RMC,100,0.9,0.25,1.000,0.837,0.911,0.919,6068,20288
k-core,100,0.9,0.25,0.040,1.000,0.077,0.251,1375500,3
Densest,100,0.9,0.25,1.000,0.999,0.999,0.899,8101,21855
L-RMC,100,0.9,0.35,1.000,0.829,0.906,0.919,5968,32076
k-core,100,0.9,0.35,0.040,1.000,0.077,0.351,1974750,3
Densest,100,0.9,0.35,1.000,0.997,0.998,0.899,8065,30299
L-RMC,100,0.9,0.45,1.000,0.819,0.900,0.920,5809,46173
k-core,100,0.9,0.45,0.040,1.000,0.077,0.451,2597750,2
Densest,100,0.9,0.45,1.000,0.979,0.989,0.900,7784,38531
L-RMC,150,0.6,0.25,1.000,0.527,0.689,0.681,3857,19989
k-core,150,0.6,0.25,0.060,1.000,0.113,0.251,1378250,2
Densest,150,0.6,0.25,1.000,0.997,0.999,0.599,11086,23263
L-RMC,150,0.6,0.35,1.000,0.557,0.715,0.673,4282,32238
k-core,150,0.6,0.35,0.060,1.000,0.113,0.351,1974250,2
Densest,150,0.6,0.35,0.996,0.945,0.970,0.603,10142,30675
L-RMC,150,0.6,0.45,0.326,0.211,0.255,0.626,5320,46225
k-core,150,0.6,0.45,0.060,1.000,0.113,0.451,2593750,2
Densest,150,0.6,0.45,0.294,0.411,0.326,0.559,36532,38977
L-RMC,150,0.7,0.25,1.000,0.565,0.721,0.767,5100,20921
k-core,150,0.7,0.25,0.060,1.000,0.113,0.252,1378250,2
Densest,150,0.7,0.25,1.000,1.000,1.000,0.698,13305,22248
L-RMC,150,0.7,0.35,1.000,0.560,0.717,0.768,5017,32642
k-core,150,0.7,0.35,0.060,1.000,0.113,0.351,1974250,3
Densest,150,0.7,0.35,1.000,0.999,0.999,0.698,13258,29686
L-RMC,150,0.7,0.45,1.000,0.557,0.715,0.765,4935,45515
k-core,150,0.7,0.45,0.060,1.000,0.113,0.451,2593750,2
Densest,150,0.7,0.45,0.998,0.938,0.967,0.703,12020,37913
L-RMC,150,0.8,0.25,1.000,0.613,0.759,0.849,6770,20749
k-core,150,0.8,0.25,0.060,1.000,0.113,0.252,1378250,2
Densest,150,0.8,0.25,1.000,1.000,1.000,0.798,15780,21870
L-RMC,150,0.8,0.35,1.000,0.613,0.759,0.849,6770,33031
k-core,150,0.8,0.35,0.060,1.000,0.113,0.352,1974250,2
Densest,150,0.8,0.35,1.000,1.000,1.000,0.798,15780,30001
L-RMC,150,0.8,0.45,1.000,0.603,0.751,0.851,6569,45261
k-core,150,0.8,0.45,0.060,1.000,0.113,0.451,2593750,2
Densest,150,0.8,0.45,1.000,0.995,0.998,0.798,15691,38863
L-RMC,150,0.9,0.25,1.000,0.675,0.806,0.931,9181,20762
k-core,150,0.9,0.25,0.060,1.000,0.113,0.252,1378250,2
Densest,150,0.9,0.25,1.000,1.000,1.000,0.900,18570,22639
L-RMC,150,0.9,0.35,1.000,0.675,0.806,0.931,9181,32871
k-core,150,0.9,0.35,0.060,1.000,0.113,0.352,1974250,2
Densest,150,0.9,0.35,1.000,1.000,1.000,0.900,18570,31705
L-RMC,150,0.9,0.45,1.000,0.675,0.806,0.931,9181,45209
k-core,150,0.9,0.45,0.060,1.000,0.113,0.452,2593750,2
Densest,150,0.9,0.45,1.000,1.000,1.000,0.900,18570,40560
L-RMC,200,0.6,0.25,1.000,0.459,0.628,0.684,5319,20283
k-core,200,0.6,0.25,0.080,1.000,0.148,0.252,1380750,2
Densest,200,0.6,0.25,1.000,1.000,1.000,0.599,19700,22509
L-RMC,200,0.6,0.35,1.000,0.478,0.644,0.681,5734,32131
k-core,200,0.6,0.35,0.080,1.000,0.148,0.352,1980750,2
Densest,200,0.6,0.35,0.999,0.995,0.997,0.600,19583,31264
L-RMC,200,0.6,0.45,0.973,0.449,0.614,0.678,5294,45601
k-core,200,0.6,0.45,0.080,1.000,0.148,0.451,2592750,2
Densest,200,0.6,0.45,0.918,0.710,0.799,0.620,13486,39123
L-RMC,200,0.7,0.25,1.000,0.446,0.615,0.781,5819,20571
