Method,ClusterSize,InternalDensity,ExternalDensity,Precision,Recall,F1,Density,RMCScore,Runtime
L-RMC,100,0.6,0.25,1.000,0.091,0.167,1.000,74,10870
k-core,100,0.6,0.25,0.040,1.000,0.077,0.251,1375500,3
Densest,100,0.6,0.25,1.000,0.953,0.976,0.600,4432,20195
L-RMC,100,0.6,0.35,0.965,0.088,0.161,1.000,74,18432
k-core,100,0.6,0.35,0.040,1.000,0.077,0.350,1974750,2
Densest,100,0.6,0.35,0.891,0.557,0.684,0.633,2068,28107
L-RMC,100,0.6,0.45,0.054,0.005,0.009,1.000,75,24191
k-core,100,0.6,0.45,0.040,1.000,0.077,0.450,2597750,4
Densest,100,0.6,0.45,0.109,0.351,0.152,0.532,99867,40775
L-RMC,100,0.7,0.25,1.000,0.122,0.217,1.000,138,11771
k-core,100,0.7,0.25,0.040,1.000,0.077,0.251,1375500,2
Densest,100,0.7,0.25,1.000,0.994,0.997,0.697,5656,20298
L-RMC,100,0.7,0.35,1.000,0.126,0.224,1.000,147,17641
k-core,100,0.7,0.35,0.040,1.000,0.077,0.351,1974750,4
Densest,100,0.7,0.35,1.000,0.925,0.961,0.702,4933,27656
L-RMC,100,0.7,0.45,0.799,0.086,0.155,1.000,101,23887
k-core,100,0.7,0.45,0.040,1.000,0.077,0.450,2597750,4
Densest,100,0.7,0.45,0.722,0.500,0.579,0.693,4879,35178
L-RMC,100,0.8,0.25,1.000,0.167,0.286,1.000,262,11796
k-core,100,0.8,0.25,0.040,1.000,0.077,0.251,1375500,3
Densest,100,0.8,0.25,1.000,0.999,0.999,0.796,6793,20396
L-RMC,100,0.8,0.35,1.000,0.169,0.289,1.000,269,18009
k-core,100,0.8,0.35,0.040,1.000,0.077,0.351,1974750,5
Densest,100,0.8,0.35,1.000,0.985,0.992,0.797,6628,27589
L-RMC,100,0.8,0.45,1.000,0.164,0.282,1.000,253,23819
k-core,100,0.8,0.45,0.040,1.000,0.077,0.451,2597750,6
Densest,100,0.8,0.45,1.000,0.916,0.956,0.800,5747,35137
L-RMC,100,0.9,0.25,1.000,0.257,0.408,1.000,641,11657
k-core,100,0.9,0.25,0.040,1.000,0.077,0.251,1375500,3
Densest,100,0.9,0.25,1.000,0.999,0.999,0.899,8101,20376
L-RMC,100,0.9,0.35,1.000,0.259,0.411,1.000,649,18217
k-core,100,0.9,0.35,0.040,1.000,0.077,0.351,1974750,2
Densest,100,0.9,0.35,1.000,0.997,0.998,0.899,8065,27778
L-RMC,100,0.9,0.45,1.000,0.265,0.418,1.000,680,23133
k-core,100,0.9,0.45,0.040,1.000,0.077,0.451,2597750,5
Densest,100,0.9,0.45,1.000,0.979,0.989,0.900,7784,34984
L-RMC,150,0.6,0.25,1.000,0.067,0.126,1.000,92,11291
k-core,150,0.6,0.25,0.060,1.000,0.113,0.251,1378250,2
Densest,150,0.6,0.25,1.000,0.997,0.999,0.599,11086,19982
L-RMC,150,0.6,0.35,1.000,0.070,0.131,1.000,100,17720
k-core,150,0.6,0.35,0.060,1.000,0.113,0.351,1974250,4
Densest,150,0.6,0.35,0.996,0.945,0.970,0.603,10142,27323
L-RMC,150,0.6,0.45,0.248,0.016,0.030,1.000,86,22996
k-core,150,0.6,0.45,0.060,1.000,0.113,0.451,2593750,3
Densest,150,0.6,0.45,0.294,0.411,0.326,0.559,36532,34965
L-RMC,150,0.7,0.25,1.000,0.090,0.165,1.000,170,11177
k-core,150,0.7,0.25,0.060,1.000,0.113,0.252,1378250,1
Densest,150,0.7,0.25,1.000,1.000,1.000,0.698,13305,20000
L-RMC,150,0.7,0.35,1.000,0.091,0.166,1.000,173,17295
k-core,150,0.7,0.35,0.060,1.000,0.113,0.351,1974250,1
Densest,150,0.7,0.35,1.000,0.999,0.999,0.698,13258,27259
L-RMC,150,0.7,0.45,1.000,0.088,0.162,1.000,162,22971
k-core,150,0.7,0.45,0.060,1.000,0.113,0.451,2593750,4
Densest,150,0.7,0.45,0.998,0.938,0.967,0.703,12020,34578
L-RMC,150,0.8,0.25,1.000,0.126,0.224,1.000,340,11297
k-core,150,0.8,0.25,0.060,1.000,0.113,0.252,1378250,2
Densest,150,0.8,0.25,1.000,1.000,1.000,0.798,15780,20037
L-RMC,150,0.8,0.35,1.000,0.126,0.224,1.000,340,17721
k-core,150,0.8,0.35,0.060,1.000,0.113,0.352,1974250,3
Densest,150,0.8,0.35,1.000,1.000,1.000,0.798,15780,27212
L-RMC,150,0.8,0.45,1.000,0.127,0.225,1.000,344,24043
k-core,150,0.8,0.45,0.060,1.000,0.113,0.451,2593750,3
Densest,150,0.8,0.45,1.000,0.995,0.998,0.798,15691,34538
L-RMC,150,0.9,0.25,1.000,0.216,0.355,1.000,1020,11156
k-core,150,0.9,0.25,0.060,1.000,0.113,0.252,1378250,1
Densest,150,0.9,0.25,1.000,1.000,1.000,0.900,18570,20003
L-RMC,150,0.9,0.35,1.000,0.216,0.355,1.000,1020,17205
k-core,150,0.9,0.35,0.060,1.000,0.113,0.352,1974250,1
Densest,150,0.9,0.35,1.000,1.000,1.000,0.900,18570,27219
L-RMC,150,0.9,0.45,1.000,0.216,0.355,1.000,1020,23529
k-core,150,0.9,0.45,0.060,1.000,0.113,0.452,2593750,2
Densest,150,0.9,0.45,1.000,1.000,1.000,0.900,18570,34476
L-RMC,200,0.6,0.25,1.000,0.053,0.100,1.000,101,11322
k-core,200,0.6,0.25,0.080,1.000,0.148,0.252,1380750,1
Densest,200,0.6,0.25,1.000,1.000,1.000,0.599,19700,19886
L-RMC,200,0.6,0.35,1.000,0.053,0.100,1.000,100,17207
k-core,200,0.6,0.35,0.080,1.000,0.148,0.352,1980750,1
Densest,200,0.6,0.35,0.999,0.995,0.997,0.600,19583,27086
L-RMC,200,0.6,0.45,0.982,0.054,0.101,1.000,110,22900
k-core,200,0.6,0.45,0.080,1.000,0.148,0.451,2592750,2
Densest,200,0.6,0.45,0.918,0.710,0.799,0.620,13486,34622
L-RMC,200,0.7,0.25,1.000,0.072,0.134,1.000,194,11530
k-core,200,0.7,0.25,0.080,1.000,0.148,0.253,1380750,5
Densest,200,0.7,0.25,1.000,1.000,1.000,0.699,24040,19960
L-RMC,200,0.7,0.35,1.000,0.072,0.134,1.000,194,17721
k-core,200,0.7,0.35,0.080,1.000,0.148,0.352,1980750,3
Densest,200,0.7,0.35,1.000,1.000,1.000,0.699,24040,27230
L-RMC,200,0.7,0.45,1.000,0.072,0.133,1.000,192,22618
k-core,200,0.7,0.45,0.080,1.000,0.148,0.452,2592750,2
Densest,200,0.7,0.45,1.000,0.991,0.995,0.700,23665,34490
L-RMC,200,0.8,0.25,1.000,0.104,0.188,1.000,413,11447
k-core,200,0.8,0.25,0.080,1.000,0.148,0.253,1380750,1
Densest,200,0.8,0.25,1.000,1.000,1.000,0.799,28560,19993
L-RMC,200,0.8,0.35,1.000,0.104,0.188,1.000,413,17263
k-core,200,0.8,0.35,0.080,1.000,0.148,0.353,1980750,4
Densest,200,0.8,0.35,1.000,1.000,1.000,0.799,28560,27337
L-RMC,200,0.8,0.45,1.000,0.104,0.188,1.000,413,22997
k-core,200,0.8,0.45,0.080,1.000,0.148,0.452,2592750,6
Densest,200,0.8,0.45,1.000,1.000,1.000,0.799,28560,34483
L-RMC,200,0.9,0.25,1.000,0.177,0.301,1.000,1219,11300
k-core,200,0.9,0.25,0.080,1.000,0.148,0.254,1380750,2
Densest,200,0.9,0.25,1.000,1.000,1.000,0.900,33300,20046
L-RMC,200,0.9,0.35,1.000,0.177,0.301,1.000,1219,17116
k-core,200,0.9,0.35,0.080,1.000,0.148,0.354,1980750,3
Densest,200,0.9,0.35,1.000,1.000,1.000,0.900,33300,27344
L-RMC,200,0.9,0.45,1.000,0.177,0.301,1.000,1219,22968
k-core,200,0.9,0.45,0.080,1.000,0.148,0.453,2592750,5
Densest,200,0.9,0.45,1.000,1.000,1.000,0.900,33300,34473
