Method,ClusterSize,InternalDensity,ExternalDensity,Precision,Recall,F1,Density,RMCScore,Runtime
L-RMC,100,0.8,0.25,1.000,0.160,0.276,1.000,240,11511
k-core,100,0.8,0.25,0.040,1.000,0.077,0.251,1372500,2
Densest,100,0.8,0.25,1.000,1.000,1.000,0.794,6800,20234
L-RMC,100,0.8,0.30,1.000,0.170,0.291,1.000,272,14836
k-core,100,0.8,0.30,0.040,1.000,0.077,0.301,1670000,13
Densest,100,0.8,0.30,1.000,0.990,0.995,0.799,6633,23447
L-RMC,100,0.8,0.40,1.000,0.180,0.305,1.000,306,19524
k-core,100,0.8,0.40,0.040,1.000,0.077,0.400,2277500,3
Densest,100,0.8,0.40,1.000,0.960,0.980,0.802,6336,30621
L-RMC,100,0.9,0.15,1.000,0.270,0.425,1.000,702,6623
k-core,100,0.9,0.15,0.040,1.000,0.077,0.151,805000,2
Densest,100,0.9,0.15,1.000,1.000,1.000,0.901,8100,11435
L-RMC,100,0.9,0.25,1.000,0.270,0.425,1.000,702,11494
k-core,100,0.9,0.25,0.040,1.000,0.077,0.251,1395000,2
Densest,100,0.9,0.25,1.000,1.000,1.000,0.892,7900,19451
L-RMC,100,0.9,0.30,1.000,0.300,0.462,1.000,870,15773
k-core,100,0.9,0.30,0.040,1.000,0.077,0.301,1685000,2
Densest,100,0.9,0.30,1.000,1.000,1.000,0.901,8200,23470
L-RMC,100,0.9,0.40,1.000,0.270,0.425,1.000,702,19296
k-core,100,0.9,0.40,0.040,1.000,0.077,0.401,2272500,2
Densest,100,0.9,0.40,1.000,1.000,1.000,0.900,8000,30606
