Method,ClusterSize,InternalDensity,ExternalDensity,Precision,Recall,F1,Density,RMCScore,Runtime
L-RMC,100,0.6,0.25,1.000,0.091,0.167,1.000,74,20397
k-core,100,0.6,0.25,0.040,1.000,0.077,0.251,1375500,6
Densest,100,0.6,0.25,1.000,0.953,0.976,0.600,4432,30138
L-RMC,100,0.6,0.35,0.965,0.088,0.161,1.000,74,44493
k-core,100,0.6,0.35,0.040,1.000,0.077,0.350,1974750,4
Densest,100,0.6,0.35,0.891,0.557,0.684,0.633,2068,41507
L-RMC,100,0.6,0.45,0.054,0.005,0.009,1.000,75,67024
k-core,100,0.6,0.45,0.040,1.000,0.077,0.450,2597750,2
Densest,100,0.6,0.45,0.109,0.351,0.152,0.532,99867,51612
L-RMC,100,0.7,0.25,1.000,0.122,0.217,1.000,138,25804
k-core,100,0.7,0.25,0.040,1.000,0.077,0.251,1375500,2
Densest,100,0.7,0.25,1.000,0.994,0.997,0.697,5656,29753
L-RMC,100,0.7,0.35,1.000,0.126,0.224,1.000,147,43537
k-core,100,0.7,0.35,0.040,1.000,0.077,0.351,1974750,2
Densest,100,0.7,0.35,1.000,0.925,0.961,0.702,4933,40276
L-RMC,100,0.7,0.45,0.799,0.086,0.155,1.000,101,65074
k-core,100,0.7,0.45,0.040,1.000,0.077,0.450,2597750,2
Densest,100,0.7,0.45,0.722,0.500,0.579,0.693,4879,52326
L-RMC,100,0.8,0.25,1.000,0.167,0.286,1.000,262,25357
k-core,100,0.8,0.25,0.040,1.000,0.077,0.251,1375500,2
Densest,100,0.8,0.25,1.000,0.999,0.999,0.796,6793,28649
L-RMC,100,0.8,0.35,1.000,0.169,0.289,1.000,269,44467
k-core,100,0.8,0.35,0.040,1.000,0.077,0.351,1974750,2
Densest,100,0.8,0.35,1.000,0.985,0.992,0.797,6628,40705
L-RMC,100,0.8,0.45,1.000,0.164,0.282,1.000,253,61021
k-core,100,0.8,0.45,0.040,1.000,0.077,0.451,2597750,2
Densest,100,0.8,0.45,1.000,0.916,0.956,0.800,5747,53817
L-RMC,100,0.9,0.25,1.000,0.257,0.408,1.000,641,24485
k-core,100,0.9,0.25,0.040,1.000,0.077,0.251,1375500,2
Densest,100,0.9,0.25,1.000,0.999,0.999,0.899,8101,28755
L-RMC,100,0.9,0.35,1.000,0.259,0.411,1.000,649,43022
k-core,100,0.9,0.35,0.040,1.000,0.077,0.351,1974750,2
Densest,100,0.9,0.35,1.000,0.997,0.998,0.899,8065,39829
L-RMC,100,0.9,0.45,1.000,0.265,0.418,1.000,680,64649
k-core,100,0.9,0.45,0.040,1.000,0.077,0.451,2597750,2
Densest,100,0.9,0.45,1.000,0.979,0.989,0.900,7784,51036
L-RMC,150,0.6,0.25,1.000,0.067,0.126,1.000,92,25599
k-core,150,0.6,0.25,0.060,1.000,0.113,0.251,1378250,3
Densest,150,0.6,0.25,1.000,0.997,0.999,0.599,11086,28723
L-RMC,150,0.6,0.35,1.000,0.070,0.131,1.000,100,39264
k-core,150,0.6,0.35,0.060,1.000,0.113,0.351,1974250,2
Densest,150,0.6,0.35,0.996,0.945,0.970,0.603,10142,40034
