Method,ClusterSize,InternalDensity,ExternalDensity,Precision,Recall,F1,Density,RMCScore,Runtime
L-RMC,20,0.6,0.01,1.000,0.300,0.462,1.000,30,114
k-core,20,0.6,0.01,0.012,1.000,0.023,0.011,24234,19
Densest,20,0.6,0.01,1.000,0.950,0.974,0.614,152,535
L-RMC,20,0.6,0.03,1.000,0.250,0.400,1.000,20,549
k-core,20,0.6,0.03,0.010,1.000,0.020,0.030,70000,3
Densest,20,0.6,0.03,1.000,0.600,0.750,0.697,72,1185
L-RMC,20,0.6,0.05,1.000,0.300,0.462,1.000,30,885
k-core,20,0.6,0.05,0.010,1.000,0.020,0.050,142000,3
Densest,20,0.6,0.05,1.000,0.750,0.857,0.676,105,1821
L-RMC,20,0.6,0.07,1.000,0.250,0.400,1.000,20,1507
k-core,20,0.6,0.07,0.010,1.000,0.020,0.070,206000,1
Densest,20,0.6,0.07,1.000,0.650,0.788,0.718,91,2486
L-RMC,20,0.6,0.10,0.000,0.000,0.000,1.000,20,1948
k-core,20,0.6,0.10,0.010,1.000,0.020,0.100,308000,1
Densest,20,0.6,0.10,0.115,0.150,0.130,0.360,182,3548
L-RMC,20,0.6,0.15,0.000,0.000,0.000,1.000,20,1629
k-core,20,0.6,0.15,0.010,1.000,0.020,0.150,510000,2
Densest,20,0.6,0.15,0.017,0.250,0.032,0.209,16060,5405
L-RMC,20,0.8,0.01,1.000,0.400,0.571,1.000,56,95
k-core,20,0.8,0.01,0.011,1.000,0.023,0.011,24374,4
Densest,20,0.8,0.01,1.000,1.000,1.000,0.758,220,740
L-RMC,20,0.8,0.03,1.000,0.450,0.621,1.000,72,256
k-core,20,0.8,0.03,0.010,1.000,0.020,0.030,74000,1
Densest,20,0.8,0.03,1.000,1.000,1.000,0.800,240,1184
L-RMC,20,0.8,0.05,1.000,0.400,0.571,1.000,56,472
k-core,20,0.8,0.05,0.010,1.000,0.020,0.050,142000,1
Densest,20,0.8,0.05,1.000,0.900,0.947,0.810,198,1734
L-RMC,20,0.8,0.07,1.000,0.450,0.621,1.000,72,648
k-core,20,0.8,0.07,0.010,1.000,0.020,0.070,194000,2
Densest,20,0.8,0.07,1.000,0.850,0.919,0.831,136,2369
L-RMC,20,0.8,0.10,1.000,0.350,0.519,1.000,42,982
