Method,ClusterSize,InternalDensity,ExternalDensity,Precision,Recall,F1,Density,RMCScore,Runtime
L-RMC,20,0.6,0.01,1.000,0.300,0.462,1.000,30,117
k-core,20,0.6,0.01,0.012,1.000,0.023,0.011,24234,21
Densest,20,0.6,0.01,1.000,0.950,0.974,0.614,152,540
L-RMC,20,0.6,0.03,1.000,0.250,0.400,1.000,20,549
k-core,20,0.6,0.03,0.010,1.000,0.020,0.030,70000,3
Densest,20,0.6,0.03,1.000,0.600,0.750,0.697,72,1169
L-RMC,20,0.6,0.05,1.000,0.300,0.462,1.000,30,847
k-core,20,0.6,0.05,0.010,1.000,0.020,0.050,142000,3
Densest,20,0.6,0.05,1.000,0.750,0.857,0.676,105,1875
L-RMC,20,0.6,0.07,1.000,0.250,0.400,1.000,20,1278
k-core,20,0.6,0.07,0.010,1.000,0.020,0.070,206000,1
Densest,20,0.6,0.07,1.000,0.650,0.788,0.718,91,2493
L-RMC,20,0.6,0.10,0.000,0.000,0.000,1.000,20,1865
k-core,20,0.6,0.10,0.010,1.000,0.020,0.100,308000,1
Densest,20,0.6,0.10,0.115,0.150,0.130,0.360,182,3498
L-RMC,20,0.6,0.15,0.000,0.000,0.000,1.000,20,1750
k-core,20,0.6,0.15,0.010,1.000,0.020,0.150,510000,1
Densest,20,0.6,0.15,0.017,0.250,0.032,0.209,16060,5319
L-RMC,20,0.8,0.01,1.000,0.400,0.571,1.000,56,87
k-core,20,0.8,0.01,0.011,1.000,0.023,0.011,24374,4
Densest,20,0.8,0.01,1.000,1.000,1.000,0.758,220,488
L-RMC,20,0.8,0.03,1.000,0.450,0.621,1.000,72,256
k-core,20,0.8,0.03,0.010,1.000,0.020,0.030,74000,1
Densest,20,0.8,0.03,1.000,1.000,1.000,0.800,240,1154
L-RMC,20,0.8,0.05,1.000,0.400,0.571,1.000,56,463
k-core,20,0.8,0.05,0.010,1.000,0.020,0.050,142000,1
Densest,20,0.8,0.05,1.000,0.900,0.947,0.810,198,1691
L-RMC,20,0.8,0.07,1.000,0.450,0.621,1.000,72,635
k-core,20,0.8,0.07,0.010,1.000,0.020,0.070,194000,1
Densest,20,0.8,0.07,1.000,0.850,0.919,0.831,136,2745
L-RMC,20,0.8,0.10,1.000,0.350,0.519,1.000,42,1205
k-core,20,0.8,0.10,0.010,1.000,0.020,0.100,314000,2
Densest,20,0.8,0.10,0.818,0.450,0.581,0.800,66,3392
L-RMC,20,0.8,0.15,0.000,0.000,0.000,1.000,20,1843
k-core,20,0.8,0.15,0.010,1.000,0.020,0.150,486000,3
Densest,20,0.8,0.15,0.030,0.500,0.057,0.204,20191,4984
L-RMC,20,0.9,0.01,1.000,0.500,0.667,1.000,90,87
k-core,20,0.9,0.01,0.011,1.000,0.022,0.011,24948,4
Densest,20,0.9,0.01,1.000,1.000,1.000,0.879,280,431
L-RMC,20,0.9,0.03,1.000,0.650,0.788,1.000,156,254
k-core,20,0.9,0.03,0.010,1.000,0.020,0.030,72000,2
Densest,20,0.9,0.03,1.000,1.000,1.000,0.921,320,1212
L-RMC,20,0.9,0.05,1.000,0.450,0.621,1.000,72,592
k-core,20,0.9,0.05,0.010,1.000,0.020,0.050,136000,1
Densest,20,0.9,0.05,1.000,0.750,0.857,0.895,165,1694
L-RMC,20,0.9,0.07,1.000,0.600,0.750,1.000,132,657
k-core,20,0.9,0.07,0.010,1.000,0.020,0.070,198000,1
Densest,20,0.9,0.07,1.000,1.000,1.000,0.921,320,2508
L-RMC,20,0.9,0.10,1.000,0.650,0.788,1.000,156,1041
k-core,20,0.9,0.10,0.010,1.000,0.020,0.100,316000,1
Densest,20,0.9,0.10,1.000,0.850,0.919,0.956,238,3272
L-RMC,20,0.9,0.15,0.000,0.000,0.000,1.000,20,1687
k-core,20,0.9,0.15,0.010,1.000,0.020,0.150,500000,1
Densest,20,0.9,0.15,0.019,0.750,0.038,0.174,96750,5014
L-RMC,50,0.6,0.01,1.000,0.160,0.276,1.000,56,88
k-core,50,0.6,0.01,1.000,1.000,1.000,0.580,1150,4
Densest,50,0.6,0.01,1.000,1.000,1.000,0.580,1150,433
L-RMC,50,0.6,0.03,1.000,0.140,0.246,1.000,42,257
k-core,50,0.6,0.03,0.025,1.000,0.049,0.030,74000,1
Densest,50,0.6,0.03,1.000,1.000,1.000,0.594,1200,1059
L-RMC,50,0.6,0.05,1.000,0.120,0.214,1.000,30,440
k-core,50,0.6,0.05,0.025,1.000,0.049,0.050,144000,1
Densest,50,0.6,0.05,1.000,1.000,1.000,0.616,1150,1670
L-RMC,50,0.6,0.07,1.000,0.140,0.246,1.000,42,640
k-core,50,0.6,0.07,0.025,1.000,0.049,0.070,198000,1
Densest,50,0.6,0.07,1.000,1.000,1.000,0.595,1100,2297
L-RMC,50,0.6,0.10,1.000,0.140,0.246,1.000,42,975
k-core,50,0.6,0.10,0.025,1.000,0.049,0.100,302000,1
Densest,50,0.6,0.10,1.000,0.980,0.990,0.599,1078,3234
L-RMC,50,0.6,0.15,1.000,0.180,0.305,1.000,72,1672
k-core,50,0.6,0.15,0.025,1.000,0.049,0.150,468000,1
Densest,50,0.6,0.15,1.000,0.940,0.969,0.586,987,4995
L-RMC,50,0.8,0.01,1.000,0.280,0.438,1.000,182,89
k-core,50,0.8,0.01,1.000,1.000,1.000,0.810,1750,4
Densest,50,0.8,0.01,1.000,1.000,1.000,0.810,1750,440
L-RMC,50,0.8,0.03,1.000,0.300,0.462,1.000,210,267
k-core,50,0.8,0.03,0.025,1.000,0.049,0.030,68000,1
Densest,50,0.8,0.03,1.000,1.000,1.000,0.789,1550,1074
L-RMC,50,0.8,0.05,1.000,0.280,0.438,1.000,182,445
k-core,50,0.8,0.05,0.025,1.000,0.049,0.050,142000,1
Densest,50,0.8,0.05,1.000,1.000,1.000,0.813,1750,1702
L-RMC,50,0.8,0.07,1.000,0.300,0.462,1.000,210,644
k-core,50,0.8,0.07,0.025,1.000,0.049,0.071,212000,1
Densest,50,0.8,0.07,1.000,1.000,1.000,0.804,1550,2372
L-RMC,50,0.8,0.10,1.000,0.300,0.462,1.000,210,1010
k-core,50,0.8,0.10,0.025,1.000,0.049,0.101,318000,1
Densest,50,0.8,0.10,1.000,1.000,1.000,0.816,1650,3265
L-RMC,50,0.8,0.15,1.000,0.280,0.438,1.000,182,3014
k-core,50,0.8,0.15,0.025,1.000,0.049,0.150,486000,1
Densest,50,0.8,0.15,1.000,1.000,1.000,0.802,1650,5232
L-RMC,50,0.9,0.01,1.000,0.420,0.592,1.000,420,91
k-core,50,0.9,0.01,1.000,1.000,1.000,0.912,2050,4
Densest,50,0.9,0.01,1.000,1.000,1.000,0.912,2050,442
L-RMC,50,0.9,0.03,1.000,0.440,0.611,1.000,462,261
k-core,50,0.9,0.03,0.025,1.000,0.049,0.031,74000,1
Densest,50,0.9,0.03,1.000,1.000,1.000,0.901,1950,1069
L-RMC,50,0.9,0.05,1.000,0.420,0.592,1.000,420,452
k-core,50,0.9,0.05,0.025,1.000,0.049,0.050,142000,1
Densest,50,0.9,0.05,1.000,1.000,1.000,0.908,1950,1673
L-RMC,50,0.9,0.07,1.000,0.420,0.592,1.000,420,655
k-core,50,0.9,0.07,0.025,1.000,0.049,0.071,204000,1
Densest,50,0.9,0.07,1.000,1.000,1.000,0.902,1900,2276
L-RMC,50,0.9,0.10,1.000,0.380,0.551,1.000,342,994
k-core,50,0.9,0.10,0.025,1.000,0.049,0.100,308000,1
Densest,50,0.9,0.10,1.000,1.000,1.000,0.900,1950,3275
L-RMC,50,0.9,0.15,1.000,0.360,0.529,1.000,306,1673
k-core,50,0.9,0.15,0.025,1.000,0.049,0.150,498000,1
Densest,50,0.9,0.15,1.000,0.980,0.990,0.892,1911,4963
L-RMC,100,0.6,0.01,1.000,0.080,0.148,1.000,56,93
k-core,100,0.6,0.01,1.000,1.000,1.000,0.594,4700,4
Densest,100,0.6,0.01,1.000,1.000,1.000,0.594,4700,456
L-RMC,100,0.6,0.03,1.000,0.090,0.165,1.000,72,261
k-core,100,0.6,0.03,0.050,1.000,0.095,0.031,70000,1
Densest,100,0.6,0.03,1.000,1.000,1.000,0.599,4700,1070
L-RMC,100,0.6,0.05,1.000,0.100,0.182,1.000,90,446
k-core,100,0.6,0.05,0.050,1.000,0.095,0.051,136000,1
Densest,100,0.6,0.05,1.000,1.000,1.000,0.604,5100,1669
L-RMC,100,0.6,0.07,1.000,0.090,0.165,1.000,72,645
k-core,100,0.6,0.07,0.050,1.000,0.095,0.071,202000,1
Densest,100,0.6,0.07,1.000,1.000,1.000,0.601,4900,2278
L-RMC,100,0.6,0.10,1.000,0.090,0.165,1.000,72,990
k-core,100,0.6,0.10,0.050,1.000,0.095,0.101,302000,1
Densest,100,0.6,0.10,1.000,1.000,1.000,0.602,4600,3259
L-RMC,100,0.6,0.15,1.000,0.100,0.182,1.000,90,1691
k-core,100,0.6,0.15,0.050,1.000,0.095,0.151,484000,1
Densest,100,0.6,0.15,1.000,1.000,1.000,0.613,4800,4869
L-RMC,100,0.8,0.01,1.000,0.170,0.291,1.000,272,94
k-core,100,0.8,0.01,1.000,1.000,1.000,0.805,6800,4
Densest,100,0.8,0.01,1.000,1.000,1.000,0.805,6800,474
L-RMC,100,0.8,0.03,1.000,0.190,0.319,1.000,342,266
k-core,100,0.8,0.03,0.050,1.000,0.095,0.032,74000,1
Densest,100,0.8,0.03,1.000,1.000,1.000,0.807,7100,1084
L-RMC,100,0.8,0.05,1.000,0.180,0.305,1.000,306,459
k-core,100,0.8,0.05,0.050,1.000,0.095,0.052,142000,1
Densest,100,0.8,0.05,1.000,1.000,1.000,0.806,7100,1740
L-RMC,100,0.8,0.07,1.000,0.140,0.246,1.000,182,648
k-core,100,0.8,0.07,0.050,1.000,0.095,0.072,206000,1
Densest,100,0.8,0.07,1.000,1.000,1.000,0.793,7000,2296
L-RMC,100,0.8,0.10,1.000,0.150,0.261,1.000,210,994
k-core,100,0.8,0.10,0.050,1.000,0.095,0.102,316000,1
Densest,100,0.8,0.10,1.000,1.000,1.000,0.791,6800,3272
L-RMC,100,0.8,0.15,1.000,0.170,0.291,1.000,272,1716
k-core,100,0.8,0.15,0.050,1.000,0.095,0.151,480000,1
Densest,100,0.8,0.15,1.000,1.000,1.000,0.801,6900,4902
L-RMC,100,0.9,0.01,1.000,0.240,0.387,1.000,552,96
k-core,100,0.9,0.01,1.000,1.000,1.000,0.898,7900,4
Densest,100,0.9,0.01,1.000,1.000,1.000,0.898,7900,485
L-RMC,100,0.9,0.03,1.000,0.300,0.462,1.000,870,266
k-core,100,0.9,0.03,0.050,1.000,0.095,0.032,70000,1
Densest,100,0.9,0.03,1.000,1.000,1.000,0.901,8000,1105
L-RMC,100,0.9,0.05,1.000,0.280,0.438,1.000,756,450
k-core,100,0.9,0.05,0.050,1.000,0.095,0.052,142000,1
Densest,100,0.9,0.05,1.000,1.000,1.000,0.899,8300,1705
L-RMC,100,0.9,0.07,1.000,0.260,0.413,1.000,650,659
k-core,100,0.9,0.07,0.050,1.000,0.095,0.072,204000,1
Densest,100,0.9,0.07,1.000,1.000,1.000,0.900,8300,2306
L-RMC,100,0.9,0.10,1.000,0.310,0.473,1.000,930,1002
k-core,100,0.9,0.10,0.050,1.000,0.095,0.102,322000,1
Densest,100,0.9,0.10,1.000,1.000,1.000,0.904,8200,3272
L-RMC,100,0.9,0.15,1.000,0.270,0.425,1.000,702,1699
k-core,100,0.9,0.15,0.050,1.000,0.095,0.152,494000,1
Densest,100,0.9,0.15,1.000,1.000,1.000,0.898,7800,4961
