Method,ClusterSize,InternalDensity,ExternalDensity,Precision,Recall,F1,Density,MinDeg,AvgDeg,MaxDeg,RMCScore,Runtime
L-RMC,100,0.6,0.25,1.000,0.443,0.613,0.721,28.5,31.2,35.8,1271,4569
k-core,100,0.6,0.25,0.040,1.000,0.077,0.251,550.2,626.1,713.7,1375500,399
Densest,100,0.6,0.25,0.040,1.000,0.077,0.251,550.2,626.1,713.7,1375500,21751
QuasiClique,100,0.6,0.25,1.000,0.110,0.198,0.965,9.1,9.7,10.0,100,21335
L-RMC,100,0.6,0.35,0.957,0.375,0.538,0.718,24.5,27.3,31.7,969,15031
k-core,100,0.6,0.35,0.040,1.000,0.077,0.350,789.9,875.6,961.2,1974750,473
Densest,100,0.6,0.35,0.040,1.000,0.077,0.350,789.9,875.6,961.2,1974750,28625
QuasiClique,100,0.6,0.35,0.973,0.107,0.193,0.965,9.0,9.7,10.0,99,27603
L-RMC,100,0.6,0.45,0.101,0.049,0.066,0.712,30.0,32.7,36.9,1451,25218
k-core,100,0.6,0.45,0.040,1.000,0.077,0.450,1039.1,1125.3,1209.6,2597750,625
Densest,100,0.6,0.45,0.040,1.000,0.077,0.450,1039.1,1125.3,1209.6,2597750,36513
QuasiClique,100,0.6,0.45,0.064,0.007,0.013,0.967,9.0,9.7,10.0,99,34705
L-RMC,100,0.7,0.25,1.000,0.412,0.582,0.824,30.5,33.1,36.5,1268,7914
k-core,100,0.7,0.25,0.040,1.000,0.077,0.251,550.2,626.5,722.9,1375500,428
Densest,100,0.7,0.25,0.040,1.000,0.077,0.251,550.2,626.5,722.9,1375500,21063
QuasiClique,100,0.7,0.25,1.000,0.122,0.217,1.000,11.2,11.2,11.2,138,19829
L-RMC,100,0.7,0.35,1.000,0.388,0.558,0.834,29.0,31.4,34.9,1139,15108
k-core,100,0.7,0.35,0.040,1.000,0.077,0.351,789.9,876.0,969.1,1974750,498
Densest,100,0.7,0.35,0.040,1.000,0.077,0.351,789.9,876.0,969.1,1974750,28286
