Method,ClusterSize,InternalDensity,ExternalDensity,Precision,Recall,F1,Density,MinDeg,AvgDeg,MaxDeg,RMCScore,Runtime
L-RMC,100,0.6,0.25,1.000,0.739,0.849,0.644,41.7,46.9,54.7,3091,8475
k-core,100,0.6,0.25,0.040,1.000,0.077,0.251,550.2,626.1,713.7,1375500,399
Densest,100,0.6,0.25,0.040,1.000,0.077,0.251,550.2,626.1,713.7,1375500,21751
QuasiClique,100,0.6,0.25,1.000,0.110,0.198,0.965,9.1,9.7,10.0,100,21335
L-RMC,100,0.6,0.35,0.776,0.564,0.647,0.599,38.6,45.2,54.3,3185,28212
k-core,100,0.6,0.35,0.040,1.000,0.077,0.350,789.9,875.6,961.2,1974750,473
Densest,100,0.6,0.35,0.040,1.000,0.077,0.350,789.9,875.6,961.2,1974750,28625
QuasiClique,100,0.6,0.35,0.973,0.107,0.193,0.965,9.0,9.7,10.0,99,27603
L-RMC,100,0.6,0.45,0.094,0.101,0.097,0.610,61.2,66.1,73.4,6777,46990
k-core,100,0.6,0.45,0.040,1.000,0.077,0.450,1039.1,1125.3,1209.6,2597750,625
Densest,100,0.6,0.45,0.040,1.000,0.077,0.450,1039.1,1125.3,1209.6,2597750,36513
QuasiClique,100,0.6,0.45,0.064,0.007,0.013,0.967,9.0,9.7,10.0,99,34705
L-RMC,100,0.7,0.25,1.000,0.732,0.844,0.745,49.1,53.7,61.4,3608,13202
k-core,100,0.7,0.25,0.040,1.000,0.077,0.251,550.2,626.5,722.9,1375500,428
Densest,100,0.7,0.25,0.040,1.000,0.077,0.251,550.2,626.5,722.9,1375500,21063
QuasiClique,100,0.7,0.25,1.000,0.122,0.217,1.000,11.2,11.2,11.2,138,19829
L-RMC,100,0.7,0.35,1.000,0.734,0.846,0.741,48.8,53.6,61.3,3592,28393
k-core,100,0.7,0.35,0.040,1.000,0.077,0.351,789.9,876.0,969.1,1974750,498
Densest,100,0.7,0.35,0.040,1.000,0.077,0.351,789.9,876.0,969.1,1974750,28286
QuasiClique,100,0.7,0.35,1.000,0.126,0.224,1.000,11.6,11.6,11.6,147,27170
L-RMC,100,0.7,0.45,0.614,0.467,0.524,0.674,50.0,55.5,63.6,4409,43861
k-core,100,0.7,0.45,0.040,1.000,0.077,0.450,1039.1,1125.7,1212.4,2597750,677
Densest,100,0.7,0.45,0.040,1.000,0.077,0.450,1039.1,1125.7,1212.4,2597750,36363
QuasiClique,100,0.7,0.45,0.802,0.091,0.163,0.985,9.7,10.2,10.3,110,34540
L-RMC,100,0.8,0.25,1.000,0.758,0.861,0.835,58.3,62.4,68.5,4438,13709
k-core,100,0.8,0.25,0.040,1.000,0.077,0.251,550.2,626.9,732.7,1375500,356
Densest,100,0.8,0.25,0.040,1.000,0.077,0.251,550.2,626.9,732.7,1375500,20677
QuasiClique,100,0.8,0.25,1.000,0.167,0.286,1.000,15.7,15.7,15.7,262,19893
L-RMC,100,0.8,0.35,1.000,0.747,0.854,0.836,57.6,61.6,67.6,4317,27817
k-core,100,0.8,0.35,0.040,1.000,0.077,0.351,789.9,876.4,978.8,1974750,489
Densest,100,0.8,0.35,0.040,1.000,0.077,0.351,789.9,876.4,978.8,1974750,28177
QuasiClique,100,0.8,0.35,1.000,0.169,0.289,1.000,15.9,15.9,15.9,269,26776
L-RMC,100,0.8,0.45,1.000,0.734,0.846,0.832,55.8,60.3,67.0,4105,48784
k-core,100,0.8,0.45,0.040,1.000,0.077,0.451,1039.1,1126.1,1219.9,2597750,600
Densest,100,0.8,0.45,0.040,1.000,0.077,0.451,1039.1,1126.1,1219.9,2597750,35922
QuasiClique,100,0.8,0.45,1.000,0.164,0.282,1.000,15.4,15.4,15.4,253,34064
L-RMC,100,0.9,0.25,1.000,0.837,0.911,0.919,72.3,75.9,80.8,6068,13517
k-core,100,0.9,0.25,0.040,1.000,0.077,0.251,550.2,627.3,743.5,1375500,357
Densest,100,0.9,0.25,0.040,1.000,0.077,0.251,550.2,627.3,743.5,1375500,20460
QuasiClique,100,0.9,0.25,1.000,0.257,0.408,1.000,24.7,24.7,24.7,641,19643
L-RMC,100,0.9,0.35,1.000,0.829,0.906,0.919,71.9,75.3,80.1,5968,27399
k-core,100,0.9,0.35,0.040,1.000,0.077,0.351,789.9,876.8,988.2,1974750,480
Densest,100,0.9,0.35,0.040,1.000,0.077,0.351,789.9,876.8,988.2,1974750,28288
QuasiClique,100,0.9,0.35,1.000,0.259,0.411,1.000,24.9,24.9,24.9,649,26865
L-RMC,100,0.9,0.45,1.000,0.819,0.900,0.920,70.8,74.4,79.5,5809,48192
k-core,100,0.9,0.45,0.040,1.000,0.077,0.451,1039.1,1126.5,1229.4,2597750,613
Densest,100,0.9,0.45,0.040,1.000,0.077,0.451,1039.1,1126.5,1229.4,2597750,35882
QuasiClique,100,0.9,0.45,1.000,0.265,0.418,1.000,25.5,25.5,25.5,680,34072
L-RMC,150,0.6,0.25,1.000,0.527,0.689,0.681,48.3,53.1,60.2,3857,12825
k-core,150,0.6,0.25,0.060,1.000,0.113,0.251,551.3,627.8,736.4,1378250,352
Densest,150,0.6,0.25,0.060,1.000,0.113,0.251,551.3,627.8,736.4,1378250,20287
QuasiClique,150,0.6,0.25,1.000,0.074,0.138,0.982,9.3,9.9,10.1,103,19533
L-RMC,150,0.6,0.35,1.000,0.557,0.715,0.673,51.0,55.5,63.5,4282,28088
k-core,150,0.6,0.35,0.060,1.000,0.113,0.351,789.7,876.9,976.3,1974250,503
Densest,150,0.6,0.35,0.060,1.000,0.113,0.351,789.7,876.9,976.3,1974250,28745
QuasiClique,150,0.6,0.35,1.000,0.074,0.138,0.989,9.7,10.0,10.1,107,26656
L-RMC,150,0.6,0.45,0.326,0.211,0.255,0.626,54.6,59.7,67.1,5320,45129
k-core,150,0.6,0.45,0.060,1.000,0.113,0.451,1037.5,1126.1,1220.8,2593750,610
Densest,150,0.6,0.45,0.060,1.000,0.113,0.451,1037.5,1126.1,1220.8,2593750,36371
QuasiClique,150,0.6,0.45,0.245,0.018,0.034,0.978,9.1,9.8,10.0,100,34220
L-RMC,150,0.7,0.25,1.000,0.565,0.721,0.767,59.9,64.1,71.5,5100,12531
k-core,150,0.7,0.25,0.060,1.000,0.113,0.252,551.3,628.7,748.9,1378250,354
Densest,150,0.7,0.25,0.060,1.000,0.113,0.252,551.3,628.7,748.9,1378250,20530
QuasiClique,150,0.7,0.25,1.000,0.090,0.165,1.000,12.5,12.5,12.5,170,19586
L-RMC,150,0.7,0.35,1.000,0.560,0.717,0.768,59.4,63.7,70.9,5017,26843
k-core,150,0.7,0.35,0.060,1.000,0.113,0.351,789.7,877.8,989.4,1974250,482
Densest,150,0.7,0.35,0.060,1.000,0.113,0.351,789.7,877.8,989.4,1974250,27947
QuasiClique,150,0.7,0.35,1.000,0.091,0.166,1.000,12.6,12.6,12.6,173,26585
L-RMC,150,0.7,0.45,1.000,0.557,0.715,0.765,58.9,63.2,70.5,4935,44518
k-core,150,0.7,0.45,0.060,1.000,0.113,0.451,1037.5,1127.0,1233.1,2593750,602
Densest,150,0.7,0.45,0.060,1.000,0.113,0.451,1037.5,1127.0,1233.1,2593750,35361
QuasiClique,150,0.7,0.45,1.000,0.088,0.162,1.000,12.2,12.2,12.2,162,33897
L-RMC,150,0.8,0.25,1.000,0.613,0.759,0.849,73.3,77.2,83.5,6770,13445
k-core,150,0.8,0.25,0.060,1.000,0.113,0.252,551.3,629.6,761.8,1378250,361
Densest,150,0.8,0.25,0.060,1.000,0.113,0.252,551.3,629.6,761.8,1378250,20438
QuasiClique,150,0.8,0.25,1.000,0.126,0.224,1.000,17.9,17.9,17.9,340,19535
L-RMC,150,0.8,0.35,1.000,0.613,0.759,0.849,73.3,77.2,83.5,6770,28026
k-core,150,0.8,0.35,0.060,1.000,0.113,0.352,789.7,878.6,1002.5,1974250,481
Densest,150,0.8,0.35,0.060,1.000,0.113,0.352,789.7,878.6,1002.5,1974250,27854
QuasiClique,150,0.8,0.35,1.000,0.126,0.224,1.000,17.9,17.9,17.9,340,26709
L-RMC,150,0.8,0.45,1.000,0.603,0.751,0.851,72.1,76.1,82.4,6569,45594
k-core,150,0.8,0.45,0.060,1.000,0.113,0.451,1037.5,1127.9,1246.4,2593750,611
Densest,150,0.8,0.45,0.060,1.000,0.113,0.451,1037.5,1127.9,1246.4,2593750,35287
QuasiClique,150,0.8,0.45,1.000,0.127,0.225,1.000,18.0,18.0,18.0,344,33745
L-RMC,150,0.9,0.25,1.000,0.675,0.806,0.931,90.4,93.3,98.3,9181,13135
k-core,150,0.9,0.25,0.060,1.000,0.113,0.252,551.3,630.5,776.0,1378250,358
Densest,150,0.9,0.25,0.060,1.000,0.113,0.252,551.3,630.5,776.0,1378250,20406
QuasiClique,150,0.9,0.25,1.000,0.216,0.355,1.000,31.4,31.4,31.4,1020,19551
L-RMC,150,0.9,0.35,1.000,0.675,0.806,0.931,90.4,93.3,98.3,9181,27161
k-core,150,0.9,0.35,0.060,1.000,0.113,0.352,789.7,879.6,1016.7,1974250,494
Densest,150,0.9,0.35,0.060,1.000,0.113,0.352,789.7,879.6,1016.7,1974250,27859
QuasiClique,150,0.9,0.35,1.000,0.216,0.355,1.000,31.4,31.4,31.4,1020,26717
L-RMC,150,0.9,0.45,1.000,0.675,0.806,0.931,90.4,93.3,98.3,9181,46717
k-core,150,0.9,0.45,0.060,1.000,0.113,0.452,1037.5,1128.8,1260.1,2593750,604
Densest,150,0.9,0.45,0.060,1.000,0.113,0.452,1037.5,1128.8,1260.1,2593750,35232
