Method,ClusterSize,InternalDensity,ExternalDensity,Precision,Recall,F1,Density,RMCScore,Runtime
L-RMC,100,0.6,0.25,1.000,0.113,0.202,0.968,111,14871
k-core,100,0.6,0.25,0.040,1.000,0.077,0.251,1375500,10
Densest,100,0.6,0.25,1.000,0.953,0.976,0.600,4432,32342
L-RMC,100,0.6,0.35,0.970,0.101,0.183,0.979,94,21456
k-core,100,0.6,0.35,0.040,1.000,0.077,0.350,1974750,4
Densest,100,0.6,0.35,0.891,0.557,0.684,0.633,2068,45197
L-RMC,100,0.6,0.45,0.066,0.008,0.014,0.968,119,30667
k-core,100,0.6,0.45,0.040,1.000,0.077,0.450,2597750,15
Densest,100,0.6,0.45,0.109,0.351,0.152,0.532,99867,55089
L-RMC,100,0.7,0.25,1.000,0.122,0.217,1.000,138,12221
k-core,100,0.7,0.25,0.040,1.000,0.077,0.251,1375500,3
Densest,100,0.7,0.25,1.000,0.994,0.997,0.697,5656,31583
L-RMC,100,0.7,0.35,1.000,0.126,0.224,1.000,147,20464
k-core,100,0.7,0.35,0.040,1.000,0.077,0.351,1974750,4
Densest,100,0.7,0.35,1.000,0.925,0.961,0.702,4933,43205
L-RMC,100,0.7,0.45,0.812,0.101,0.179,0.984,133,30511
k-core,100,0.7,0.45,0.040,1.000,0.077,0.450,2597750,4
Densest,100,0.7,0.45,0.722,0.500,0.579,0.693,4879,55101
L-RMC,100,0.8,0.25,1.000,0.167,0.286,1.000,262,12142
k-core,100,0.8,0.25,0.040,1.000,0.077,0.251,1375500,7
Densest,100,0.8,0.25,1.000,0.999,0.999,0.796,6793,31590
L-RMC,100,0.8,0.35,1.000,0.169,0.289,1.000,269,21175
k-core,100,0.8,0.35,0.040,1.000,0.077,0.351,1974750,4
Densest,100,0.8,0.35,1.000,0.985,0.992,0.797,6628,43045
L-RMC,100,0.8,0.45,1.000,0.164,0.282,1.000,253,31693
k-core,100,0.8,0.45,0.040,1.000,0.077,0.451,2597750,8
Densest,100,0.8,0.45,1.000,0.916,0.956,0.800,5747,55387
L-RMC,100,0.9,0.25,1.000,0.257,0.408,1.000,641,12031
k-core,100,0.9,0.25,0.040,1.000,0.077,0.251,1375500,4
Densest,100,0.9,0.25,1.000,0.999,0.999,0.899,8101,32016
L-RMC,100,0.9,0.35,1.000,0.259,0.411,1.000,649,21359
k-core,100,0.9,0.35,0.040,1.000,0.077,0.351,1974750,5
Densest,100,0.9,0.35,1.000,0.997,0.998,0.899,8065,43539
L-RMC,100,0.9,0.45,1.000,0.265,0.418,1.000,680,32230
k-core,100,0.9,0.45,0.040,1.000,0.077,0.451,2597750,14
Densest,100,0.9,0.45,1.000,0.979,0.989,0.900,7784,55216
L-RMC,150,0.6,0.25,1.000,0.074,0.138,0.986,109,12483
k-core,150,0.6,0.25,0.060,1.000,0.113,0.251,1378250,5
Densest,150,0.6,0.25,1.000,0.997,0.999,0.599,11086,31489
L-RMC,150,0.6,0.35,1.000,0.070,0.131,1.000,100,20259
k-core,150,0.6,0.35,0.060,1.000,0.113,0.351,1974250,6
Densest,150,0.6,0.35,0.996,0.945,0.970,0.603,10142,43131
L-RMC,150,0.6,0.45,0.254,0.017,0.032,0.993,94,31927
k-core,150,0.6,0.45,0.060,1.000,0.113,0.451,2593750,7
Densest,150,0.6,0.45,0.294,0.411,0.326,0.559,36532,55316
L-RMC,150,0.7,0.25,1.000,0.090,0.165,1.000,170,12634
k-core,150,0.7,0.25,0.060,1.000,0.113,0.252,1378250,3
Densest,150,0.7,0.25,1.000,1.000,1.000,0.698,13305,31570
L-RMC,150,0.7,0.35,1.000,0.091,0.166,1.000,173,19966
k-core,150,0.7,0.35,0.060,1.000,0.113,0.351,1974250,5
Densest,150,0.7,0.35,1.000,0.999,0.999,0.698,13258,43266
L-RMC,150,0.7,0.45,1.000,0.093,0.169,0.995,180,30960
k-core,150,0.7,0.45,0.060,1.000,0.113,0.451,2593750,5
Densest,150,0.7,0.45,0.998,0.938,0.967,0.703,12020,54721
L-RMC,150,0.8,0.25,1.000,0.126,0.224,1.000,340,12762
k-core,150,0.8,0.25,0.060,1.000,0.113,0.252,1378250,6
Densest,150,0.8,0.25,1.000,1.000,1.000,0.798,15780,32038
L-RMC,150,0.8,0.35,1.000,0.126,0.224,1.000,340,21467
k-core,150,0.8,0.35,0.060,1.000,0.113,0.352,1974250,8
Densest,150,0.8,0.35,1.000,1.000,1.000,0.798,15780,43885
L-RMC,150,0.8,0.45,1.000,0.127,0.225,1.000,344,31557
k-core,150,0.8,0.45,0.060,1.000,0.113,0.451,2593750,16
Densest,150,0.8,0.45,1.000,0.995,0.998,0.798,15691,56576
L-RMC,150,0.9,0.25,1.000,0.216,0.355,1.000,1020,12296
k-core,150,0.9,0.25,0.060,1.000,0.113,0.252,1378250,4
Densest,150,0.9,0.25,1.000,1.000,1.000,0.900,18570,32451
L-RMC,150,0.9,0.35,1.000,0.216,0.355,1.000,1020,21164
k-core,150,0.9,0.35,0.060,1.000,0.113,0.352,1974250,5
Densest,150,0.9,0.35,1.000,1.000,1.000,0.900,18570,42866
L-RMC,150,0.9,0.45,1.000,0.216,0.355,1.000,1020,29386
k-core,150,0.9,0.45,0.060,1.000,0.113,0.452,2593750,8
Densest,150,0.9,0.45,1.000,1.000,1.000,0.900,18570,54339
L-RMC,200,0.6,0.25,1.000,0.062,0.116,0.982,142,12297
k-core,200,0.6,0.25,0.080,1.000,0.148,0.252,1380750,3
Densest,200,0.6,0.25,1.000,1.000,1.000,0.599,19700,31414
L-RMC,200,0.6,0.35,1.000,0.058,0.108,0.990,121,19716
k-core,200,0.6,0.35,0.080,1.000,0.148,0.352,1980750,7
Densest,200,0.6,0.35,0.999,0.995,0.997,0.600,19583,42444
L-RMC,200,0.6,0.45,0.982,0.057,0.108,0.992,122,30485
k-core,200,0.6,0.45,0.080,1.000,0.148,0.451,2592750,6
Densest,200,0.6,0.45,0.918,0.710,0.799,0.620,13486,54377
L-RMC,200,0.7,0.25,1.000,0.072,0.134,1.000,194,12135
k-core,200,0.7,0.25,0.080,1.000,0.148,0.253,1380750,5
Densest,200,0.7,0.25,1.000,1.000,1.000,0.699,24040,31330
L-RMC,200,0.7,0.35,1.000,0.072,0.134,1.000,194,20452
k-core,200,0.7,0.35,0.080,1.000,0.148,0.352,1980750,3
Densest,200,0.7,0.35,1.000,1.000,1.000,0.699,24040,42597
L-RMC,200,0.7,0.45,1.000,0.072,0.133,1.000,192,30688
k-core,200,0.7,0.45,0.080,1.000,0.148,0.452,2592750,4
Densest,200,0.7,0.45,1.000,0.991,0.995,0.700,23665,54086
L-RMC,200,0.8,0.25,1.000,0.104,0.188,1.000,413,11789
k-core,200,0.8,0.25,0.080,1.000,0.148,0.253,1380750,6
Densest,200,0.8,0.25,1.000,1.000,1.000,0.799,28560,31445
L-RMC,200,0.8,0.35,1.000,0.104,0.188,1.000,413,20890
k-core,200,0.8,0.35,0.080,1.000,0.148,0.353,1980750,4
Densest,200,0.8,0.35,1.000,1.000,1.000,0.799,28560,42866
L-RMC,200,0.8,0.45,1.000,0.104,0.188,1.000,413,30454
k-core,200,0.8,0.45,0.080,1.000,0.148,0.452,2592750,9
Densest,200,0.8,0.45,1.000,1.000,1.000,0.799,28560,54521
