Method,ClusterSize,InternalDensity,ExternalDensity,Precision,Recall,F1,Density,MinDeg,AvgDeg,MaxDeg,RMCScore,Runtime
k-core,75,0.8,0.15,0.150,1.000,0.261,0.164,50.9,81.9,142.1,25450,6
Densest,75,0.8,0.15,0.150,1.000,0.261,0.164,50.9,81.9,142.1,25450,80
QuasiClique,75,0.8,0.15,1.000,0.196,0.327,1.000,13.7,13.7,13.7,203,83
L-RMC,75,0.9,0.01,0.151,1.000,0.262,0.030,1.0,15.0,78.9,497,6
k-core,75,0.9,0.01,1.000,1.000,1.000,0.899,60.0,66.5,71.7,4500,1
Densest,75,0.9,0.01,1.000,1.000,1.000,0.899,60.0,66.5,71.7,4500,18
QuasiClique,75,0.9,0.01,1.000,0.331,0.497,1.000,23.8,23.8,23.8,592,18
L-RMC,75,0.9,0.10,0.987,1.000,0.993,0.881,15.7,66.1,71.8,1193,9
k-core,75,0.9,0.10,0.150,1.000,0.261,0.118,31.4,58.7,126.1,15696,4
Densest,75,0.9,0.10,1.000,1.000,1.000,0.899,60.0,66.5,71.7,4500,58
QuasiClique,75,0.9,0.10,1.000,0.331,0.497,1.000,23.8,23.8,23.8,592,60
L-RMC,75,0.9,0.15,0.987,1.000,0.993,0.883,21.2,66.2,72.2,1611,14
k-core,75,0.9,0.15,0.150,1.000,0.261,0.166,50.9,83.0,149.5,25450,6
Densest,75,0.9,0.15,0.150,1.000,0.261,0.166,50.9,83.0,149.5,25450,81
QuasiClique,75,0.9,0.15,1.000,0.331,0.497,1.000,23.8,23.8,23.8,592,85
