Method,ClusterSize,InternalDensity,ExternalDensity,Precision,Recall,F1,Density,RMCScore,Runtime
L-RMC,100,0.6,0.25,1.000,0.091,0.167,1.000,74,16133
k-core,100,0.6,0.25,0.040,1.000,0.077,0.251,1375500,4
Densest,100,0.6,0.25,1.000,0.953,0.976,0.600,4432,23862
L-RMC,100,0.6,0.35,0.965,0.088,0.161,1.000,74,24035
k-core,100,0.6,0.35,0.040,1.000,0.077,0.350,1974750,2
Densest,100,0.6,0.35,0.891,0.557,0.684,0.633,2068,33103
L-RMC,100,0.6,0.45,0.054,0.005,0.009,1.000,75,32517
k-core,100,0.6,0.45,0.040,1.000,0.077,0.450,2597750,2
Densest,100,0.6,0.45,0.109,0.351,0.152,0.532,99867,43603
L-RMC,100,0.7,0.25,1.000,0.122,0.217,1.000,138,15499
k-core,100,0.7,0.25,0.040,1.000,0.077,0.251,1375500,2
Densest,100,0.7,0.25,1.000,0.994,0.997,0.697,5656,23857
L-RMC,100,0.7,0.35,1.000,0.126,0.224,1.000,147,23137
k-core,100,0.7,0.35,0.040,1.000,0.077,0.351,1974750,2
Densest,100,0.7,0.35,1.000,0.925,0.961,0.702,4933,32809
L-RMC,100,0.7,0.45,0.799,0.086,0.155,1.000,101,32045
k-core,100,0.7,0.45,0.040,1.000,0.077,0.450,2597750,2
Densest,100,0.7,0.45,0.722,0.500,0.579,0.693,4879,43808
L-RMC,100,0.8,0.25,1.000,0.167,0.286,1.000,262,15793
k-core,100,0.8,0.25,0.040,1.000,0.077,0.251,1375500,2
Densest,100,0.8,0.25,1.000,0.999,0.999,0.796,6793,23561
L-RMC,100,0.8,0.35,1.000,0.169,0.289,1.000,269,23769
k-core,100,0.8,0.35,0.040,1.000,0.077,0.351,1974750,2
Densest,100,0.8,0.35,1.000,0.985,0.992,0.797,6628,33088
L-RMC,100,0.8,0.45,1.000,0.164,0.282,1.000,253,33047
k-core,100,0.8,0.45,0.040,1.000,0.077,0.451,2597750,2
Densest,100,0.8,0.45,1.000,0.916,0.956,0.800,5747,42579
L-RMC,100,0.9,0.25,1.000,0.257,0.408,1.000,641,15798
k-core,100,0.9,0.25,0.040,1.000,0.077,0.251,1375500,2
Densest,100,0.9,0.25,1.000,0.999,0.999,0.899,8101,23647
L-RMC,100,0.9,0.35,1.000,0.259,0.411,1.000,649,23586
k-core,100,0.9,0.35,0.040,1.000,0.077,0.351,1974750,2
