Method,ClusterSize,InternalDensity,ExternalDensity,Precision,Recall,F1,Density,MinDeg,AvgDeg,MaxDeg,RMCScore,Runtime
L-RMC,100,0.6,0.25,1.000,0.091,0.167,1.000,8.1,8.1,8.1,74,2309
k-core,100,0.6,0.25,0.040,1.000,0.077,0.251,550.2,626.1,713.7,1375500,399
Densest,100,0.6,0.25,0.040,1.000,0.077,0.251,550.2,626.1,713.7,1375500,21751
L-RMC,100,0.6,0.35,0.965,0.088,0.161,1.000,8.1,8.1,8.1,74,4205
k-core,100,0.6,0.35,0.040,1.000,0.077,0.350,789.9,875.6,961.2,1974750,473
Densest,100,0.6,0.35,0.040,1.000,0.077,0.350,789.9,875.6,961.2,1974750,28625
L-RMC,100,0.6,0.45,0.054,0.005,0.009,1.000,8.2,8.2,8.2,75,6543
k-core,100,0.6,0.45,0.040,1.000,0.077,0.450,1039.1,1125.3,1209.6,2597750,625
Densest,100,0.6,0.45,0.040,1.000,0.077,0.450,1039.1,1125.3,1209.6,2597750,36513
L-RMC,100,0.7,0.25,1.000,0.122,0.217,1.000,11.2,11.2,11.2,138,2130
k-core,100,0.7,0.25,0.040,1.000,0.077,0.251,550.2,626.5,722.9,1375500,428
Densest,100,0.7,0.25,0.040,1.000,0.077,0.251,550.2,626.5,722.9,1375500,21063
L-RMC,100,0.7,0.35,1.000,0.126,0.224,1.000,11.6,11.6,11.6,147,4001
k-core,100,0.7,0.35,0.040,1.000,0.077,0.351,789.9,876.0,969.1,1974750,498
Densest,100,0.7,0.35,0.040,1.000,0.077,0.351,789.9,876.0,969.1,1974750,28286
L-RMC,100,0.7,0.45,0.799,0.086,0.155,1.000,9.5,9.5,9.5,101,6454
k-core,100,0.7,0.45,0.040,1.000,0.077,0.450,1039.1,1125.7,1212.4,2597750,677
Densest,100,0.7,0.45,0.040,1.000,0.077,0.450,1039.1,1125.7,1212.4,2597750,36363
L-RMC,100,0.8,0.25,1.000,0.167,0.286,1.000,15.7,15.7,15.7,262,2136
k-core,100,0.8,0.25,0.040,1.000,0.077,0.251,550.2,626.9,732.7,1375500,356
Densest,100,0.8,0.25,0.040,1.000,0.077,0.251,550.2,626.9,732.7,1375500,20677
L-RMC,100,0.8,0.35,1.000,0.169,0.289,1.000,15.9,15.9,15.9,269,3918
k-core,100,0.8,0.35,0.040,1.000,0.077,0.351,789.9,876.4,978.8,1974750,489
Densest,100,0.8,0.35,0.040,1.000,0.077,0.351,789.9,876.4,978.8,1974750,28177
L-RMC,100,0.8,0.45,1.000,0.164,0.282,1.000,15.4,15.4,15.4,253,6529
k-core,100,0.8,0.45,0.040,1.000,0.077,0.451,1039.1,1126.1,1219.9,2597750,600
Densest,100,0.8,0.45,0.040,1.000,0.077,0.451,1039.1,1126.1,1219.9,2597750,35922
