Method,ClusterSize,InternalDensity,ExternalDensity,Precision,Recall,F1,Density,MinDeg,AvgDeg,MaxDeg,RMCScore,Runtime
L-RMC,100,0.6,0.25,0.984,0.952,0.967,0.594,39.9,56.9,68.5,3863,2207
k-core,100,0.6,0.25,0.040,1.000,0.077,0.251,550.2,626.1,713.7,1375500,331
Densest,100,0.6,0.25,0.040,1.000,0.077,0.251,550.2,626.1,713.7,1375500,21784
QuasiClique,100,0.6,0.25,1.000,0.110,0.198,0.965,9.1,9.7,10.0,100,21335
L-RMC,100,0.6,0.35,0.252,0.630,0.359,0.445,103.8,112.6,132.3,26667,4434
k-core,100,0.6,0.35,0.040,1.000,0.077,0.350,789.9,875.6,961.2,1974750,473
Densest,100,0.6,0.35,0.040,1.000,0.077,0.350,789.9,875.6,961.2,1974750,28334
QuasiClique,100,0.6,0.35,0.973,0.107,0.193,0.965,9.0,9.7,10.0,99,27603
L-RMC,100,0.6,0.45,0.092,0.210,0.127,0.550,118.8,125.8,139.9,27617,6912
k-core,100,0.6,0.45,0.040,1.000,0.077,0.450,1039.1,1125.3,1209.6,2597750,584
Densest,100,0.6,0.45,0.040,1.000,0.077,0.450,1039.1,1125.3,1209.6,2597750,35990
QuasiClique,100,0.6,0.45,0.064,0.007,0.013,0.967,9.0,9.7,10.0,99,34705
L-RMC,100,0.7,0.25,0.995,0.989,0.992,0.695,48.3,68.4,79.8,4792,2406
k-core,100,0.7,0.25,0.040,1.000,0.077,0.251,550.2,626.5,722.9,1375500,342
Densest,100,0.7,0.25,0.040,1.000,0.077,0.251,550.2,626.5,722.9,1375500,20737
QuasiClique,100,0.7,0.25,1.000,0.122,0.217,1.000,11.2,11.2,11.2,138,19829
L-RMC,100,0.7,0.35,0.991,0.925,0.957,0.699,48.5,64.5,75.3,4527,4103
k-core,100,0.7,0.35,0.040,1.000,0.077,0.351,789.9,876.0,969.1,1974750,468
Densest,100,0.7,0.35,0.040,1.000,0.077,0.351,789.9,876.0,969.1,1974750,28112
QuasiClique,100,0.7,0.35,1.000,0.126,0.224,1.000,11.6,11.6,11.6,147,27170
L-RMC,100,0.7,0.45,0.269,0.562,0.363,0.562,109.7,118.1,135.9,23597,6562
k-core,100,0.7,0.45,0.040,1.000,0.077,0.450,1039.1,1125.7,1212.4,2597750,583
Densest,100,0.7,0.45,0.040,1.000,0.077,0.450,1039.1,1125.7,1212.4,2597750,35649
QuasiClique,100,0.7,0.45,0.802,0.091,0.163,0.985,9.7,10.2,10.3,110,34540
L-RMC,100,0.8,0.25,0.995,0.999,0.997,0.792,53.6,78.7,87.9,5376,2266
k-core,100,0.8,0.25,0.040,1.000,0.077,0.251,550.2,626.9,732.7,1375500,340
Densest,100,0.8,0.25,0.040,1.000,0.077,0.251,550.2,626.9,732.7,1375500,20557
QuasiClique,100,0.8,0.25,1.000,0.167,0.286,1.000,15.7,15.7,15.7,262,19893
L-RMC,100,0.8,0.35,0.994,0.985,0.989,0.793,56.4,77.8,86.7,5587,4372
k-core,100,0.8,0.35,0.040,1.000,0.077,0.351,789.9,876.4,978.8,1974750,473
Densest,100,0.8,0.35,0.040,1.000,0.077,0.351,789.9,876.4,978.8,1974750,27813
QuasiClique,100,0.8,0.35,1.000,0.169,0.289,1.000,15.9,15.9,15.9,269,26776
L-RMC,100,0.8,0.45,0.990,0.916,0.951,0.796,57.2,72.8,81.4,5294,6881
k-core,100,0.8,0.45,0.040,1.000,0.077,0.451,1039.1,1126.1,1219.9,2597750,579
Densest,100,0.8,0.45,0.040,1.000,0.077,0.451,1039.1,1126.1,1219.9,2597750,35289
QuasiClique,100,0.8,0.45,1.000,0.164,0.282,1.000,15.4,15.4,15.4,253,34064
L-RMC,100,0.9,0.25,0.991,0.998,0.995,0.891,44.7,88.8,96.5,4494,1954
k-core,100,0.9,0.25,0.040,1.000,0.077,0.251,550.2,627.3,743.5,1375500,337
Densest,100,0.9,0.25,0.040,1.000,0.077,0.251,550.2,627.3,743.5,1375500,20463
QuasiClique,100,0.9,0.25,1.000,0.257,0.408,1.000,24.7,24.7,24.7,641,19643
L-RMC,100,0.9,0.35,0.992,0.996,0.994,0.894,57.3,88.8,96.1,5745,3795
k-core,100,0.9,0.35,0.040,1.000,0.077,0.351,789.9,876.8,988.2,1974750,457
Densest,100,0.9,0.35,0.040,1.000,0.077,0.351,789.9,876.8,988.2,1974750,27577
QuasiClique,100,0.9,0.35,1.000,0.259,0.411,1.000,24.9,24.9,24.9,649,26865
L-RMC,100,0.9,0.45,0.991,0.979,0.985,0.895,61.8,87.5,94.6,6107,6512
k-core,100,0.9,0.45,0.040,1.000,0.077,0.451,1039.1,1126.5,1229.4,2597750,587
Densest,100,0.9,0.45,0.040,1.000,0.077,0.451,1039.1,1126.5,1229.4,2597750,35159
QuasiClique,100,0.9,0.45,1.000,0.265,0.418,1.000,25.5,25.5,25.5,680,34072
L-RMC,150,0.6,0.25,1.000,0.902,0.948,0.615,73.6,82.5,97.1,9966,2014
k-core,150,0.6,0.25,0.060,1.000,0.113,0.251,551.3,627.8,736.4,1378250,342
Densest,150,0.6,0.25,0.060,1.000,0.113,0.251,551.3,627.8,736.4,1378250,20246
QuasiClique,150,0.6,0.25,1.000,0.074,0.138,0.982,9.3,9.9,10.1,103,19533
L-RMC,150,0.6,0.35,0.999,0.885,0.938,0.614,71.7,80.9,95.1,9521,3860
k-core,150,0.6,0.35,0.060,1.000,0.113,0.351,789.7,876.9,976.3,1974250,456
Densest,150,0.6,0.35,0.060,1.000,0.113,0.351,789.7,876.9,976.3,1974250,27520
QuasiClique,150,0.6,0.35,1.000,0.074,0.138,0.989,9.7,10.0,10.1,107,26656
L-RMC,150,0.6,0.45,0.239,0.370,0.290,0.552,119.0,126.7,142.8,27825,6811
k-core,150,0.6,0.45,0.060,1.000,0.113,0.451,1037.5,1126.1,1220.8,2593750,593
Densest,150,0.6,0.45,0.060,1.000,0.113,0.451,1037.5,1126.1,1220.8,2593750,35513
QuasiClique,150,0.6,0.45,0.245,0.018,0.034,0.978,9.1,9.8,10.0,100,34220
L-RMC,150,0.7,0.25,1.000,0.897,0.946,0.715,87.1,95.5,107.7,11738,2084
k-core,150,0.7,0.25,0.060,1.000,0.113,0.252,551.3,628.7,748.9,1378250,349
Densest,150,0.7,0.25,0.060,1.000,0.113,0.252,551.3,628.7,748.9,1378250,20251
QuasiClique,150,0.7,0.25,1.000,0.090,0.165,1.000,12.5,12.5,12.5,170,19586
L-RMC,150,0.7,0.35,1.000,0.898,0.946,0.715,87.2,95.5,107.6,11761,4400
k-core,150,0.7,0.35,0.060,1.000,0.113,0.351,789.7,877.8,989.4,1974250,457
Densest,150,0.7,0.35,0.060,1.000,0.113,0.351,789.7,877.8,989.4,1974250,27412
QuasiClique,150,0.7,0.35,1.000,0.091,0.166,1.000,12.6,12.6,12.6,173,26585
L-RMC,150,0.7,0.45,1.000,0.886,0.939,0.712,84.8,93.9,105.6,11272,5291
