Method,ClusterSize,InternalDensity,ExternalDensity,Precision,Recall,F1,Density,MinDeg,AvgDeg,MaxDeg,RMCScore,Runtime
k-core,150,0.7,0.45,0.060,1.000,0.113,0.451,1037.5,1127.0,1233.1,2593750,583
Densest,150,0.7,0.45,0.060,1.000,0.113,0.451,1037.5,1127.0,1233.1,2593750,34862
QuasiClique,150,0.7,0.45,1.000,0.088,0.162,1.000,12.2,12.2,12.2,162,33897
L-RMC,150,0.8,0.25,1.000,0.925,0.961,0.809,103.8,111.3,121.2,14402,2117
k-core,150,0.8,0.25,0.060,1.000,0.113,0.252,551.3,629.6,761.8,1378250,342
Densest,150,0.8,0.25,0.060,1.000,0.113,0.252,551.3,629.6,761.8,1378250,20171
QuasiClique,150,0.8,0.25,1.000,0.126,0.224,1.000,17.9,17.9,17.9,340,19535
L-RMC,150,0.8,0.35,1.000,0.925,0.961,0.809,103.8,111.3,121.2,14402,4008
k-core,150,0.8,0.35,0.060,1.000,0.113,0.352,789.7,878.6,1002.5,1974250,457
Densest,150,0.8,0.35,0.060,1.000,0.113,0.352,789.7,878.6,1002.5,1974250,27710
QuasiClique,150,0.8,0.35,1.000,0.126,0.224,1.000,17.9,17.9,17.9,340,26709
L-RMC,150,0.8,0.45,1.000,0.925,0.961,0.808,103.8,111.3,121.0,14401,6588
k-core,150,0.8,0.45,0.060,1.000,0.113,0.451,1037.5,1127.9,1246.4,2593750,583
Densest,150,0.8,0.45,0.060,1.000,0.113,0.451,1037.5,1127.9,1246.4,2593750,34999
QuasiClique,150,0.8,0.45,1.000,0.127,0.225,1.000,18.0,18.0,18.0,344,33745
L-RMC,150,0.9,0.25,1.000,0.949,0.974,0.905,121.2,127.9,136.2,17253,1990
k-core,150,0.9,0.25,0.060,1.000,0.113,0.252,551.3,630.5,776.0,1378250,340
Densest,150,0.9,0.25,0.060,1.000,0.113,0.252,551.3,630.5,776.0,1378250,20195
QuasiClique,150,0.9,0.25,1.000,0.216,0.355,1.000,31.4,31.4,31.4,1020,19551
L-RMC,150,0.9,0.35,1.000,0.949,0.974,0.905,121.2,127.9,136.2,17253,4372
k-core,150,0.9,0.35,0.060,1.000,0.113,0.352,789.7,879.6,1016.7,1974250,464
Densest,150,0.9,0.35,0.060,1.000,0.113,0.352,789.7,879.6,1016.7,1974250,27731
QuasiClique,150,0.9,0.35,1.000,0.216,0.355,1.000,31.4,31.4,31.4,1020,26717
L-RMC,150,0.9,0.45,1.000,0.949,0.974,0.905,121.2,127.9,136.2,17253,7437
k-core,150,0.9,0.45,0.060,1.000,0.113,0.452,1037.5,1128.8,1260.1,2593750,580
Densest,150,0.9,0.45,0.060,1.000,0.113,0.452,1037.5,1128.8,1260.1,2593750,34892
QuasiClique,150,0.9,0.45,1.000,0.216,0.355,1.000,31.4,31.4,31.4,1020,33777
L-RMC,200,0.6,0.25,1.000,0.779,0.875,0.630,89.7,97.5,111.0,14018,2142
k-core,200,0.6,0.25,0.080,1.000,0.148,0.252,552.3,630.3,753.8,1380750,347
Densest,200,0.6,0.25,0.080,1.000,0.148,0.252,552.3,630.3,753.8,1380750,20180
QuasiClique,200,0.6,0.25,1.000,0.057,0.107,0.985,9.7,10.2,10.3,110,19432
L-RMC,200,0.6,0.35,1.000,0.782,0.877,0.629,89.9,97.7,111.2,14083,4125
k-core,200,0.6,0.35,0.080,1.000,0.148,0.352,792.3,878.6,986.1,1980750,465
Densest,200,0.6,0.35,0.080,1.000,0.148,0.352,792.3,878.6,986.1,1980750,27404
QuasiClique,200,0.6,0.35,1.000,0.056,0.105,0.989,9.6,10.0,10.1,106,26496
L-RMC,200,0.6,0.45,0.923,0.667,0.774,0.628,82.1,90.1,102.8,11899,7121
k-core,200,0.6,0.45,0.080,1.000,0.148,0.451,1037.1,1127.1,1222.6,2592750,575
Densest,200,0.6,0.45,0.080,1.000,0.148,0.451,1037.1,1127.1,1222.6,2592750,34917
QuasiClique,200,0.6,0.45,0.982,0.056,0.106,0.991,10.1,10.3,10.4,116,33852
L-RMC,200,0.7,0.25,1.000,0.757,0.861,0.731,102.8,109.9,121.4,15582,2082
k-core,200,0.7,0.25,0.080,1.000,0.148,0.253,552.3,631.9,773.0,1380750,344
Densest,200,0.7,0.25,0.080,1.000,0.148,0.253,552.3,631.9,773.0,1380750,20123
QuasiClique,200,0.7,0.25,1.000,0.072,0.134,1.000,13.4,13.4,13.4,194,19410
L-RMC,200,0.7,0.35,1.000,0.757,0.861,0.731,102.8,109.9,121.4,15582,4377
k-core,200,0.7,0.35,0.080,1.000,0.148,0.352,792.3,880.2,1007.6,1980750,463
Densest,200,0.7,0.35,0.080,1.000,0.148,0.352,792.3,880.2,1007.6,1980750,27741
QuasiClique,200,0.7,0.35,1.000,0.072,0.134,1.000,13.4,13.4,13.4,194,26549
L-RMC,200,0.7,0.45,1.000,0.759,0.862,0.730,102.9,110.0,121.7,15622,6188
k-core,200,0.7,0.45,0.080,1.000,0.148,0.452,1037.1,1128.7,1242.7,2592750,575
Densest,200,0.7,0.45,0.080,1.000,0.148,0.452,1037.1,1128.7,1242.7,2592750,34805
QuasiClique,200,0.7,0.45,1.000,0.072,0.133,1.000,13.3,13.3,13.3,192,33589
L-RMC,200,0.8,0.25,1.000,0.782,0.877,0.824,121.4,128.0,138.3,19029,2149
k-core,200,0.8,0.25,0.080,1.000,0.148,0.253,552.3,633.4,790.9,1380750,350
Densest,200,0.8,0.25,0.080,1.000,0.148,0.253,552.3,633.4,790.9,1380750,20246
QuasiClique,200,0.8,0.25,1.000,0.104,0.188,1.000,19.8,19.8,19.8,413,19512
L-RMC,200,0.8,0.35,1.000,0.782,0.877,0.824,121.4,128.0,138.3,19029,3980
k-core,200,0.8,0.35,0.080,1.000,0.148,0.353,792.3,881.8,1024.9,1980750,454
Densest,200,0.8,0.35,0.080,1.000,0.148,0.353,792.3,881.8,1024.9,1980750,27508
QuasiClique,200,0.8,0.35,1.000,0.104,0.188,1.000,19.8,19.8,19.8,413,26563
L-RMC,200,0.8,0.45,1.000,0.782,0.877,0.824,121.4,128.0,138.3,19029,5944
k-core,200,0.8,0.45,0.080,1.000,0.148,0.452,1037.1,1130.3,1261.4,2592750,571
Densest,200,0.8,0.45,0.080,1.000,0.148,0.452,1037.1,1130.3,1261.4,2592750,34890
QuasiClique,200,0.8,0.45,1.000,0.104,0.188,1.000,19.8,19.8,19.8,413,33627
L-RMC,200,0.9,0.25,1.000,0.862,0.926,0.912,150.6,156.4,164.6,26013,2243
k-core,200,0.9,0.25,0.080,1.000,0.148,0.254,552.3,635.1,810.4,1380750,339
Densest,200,0.9,0.25,0.080,1.000,0.148,0.254,552.3,635.1,810.4,1380750,20220
QuasiClique,200,0.9,0.25,1.000,0.177,0.301,1.000,34.4,34.4,34.4,1219,19557
L-RMC,200,0.9,0.35,1.000,0.862,0.926,0.912,150.6,156.4,164.6,26013,3818
k-core,200,0.9,0.35,0.080,1.000,0.148,0.354,792.3,883.4,1044.2,1980750,460
Densest,200,0.9,0.35,0.080,1.000,0.148,0.354,792.3,883.4,1044.2,1980750,27659
QuasiClique,200,0.9,0.35,1.000,0.177,0.301,1.000,34.4,34.4,34.4,1219,26630
L-RMC,200,0.9,0.45,1.000,0.862,0.926,0.912,150.6,156.4,164.6,26013,6749
k-core,200,0.9,0.45,0.080,1.000,0.148,0.453,1037.1,1131.9,1281.5,2592750,574
Densest,200,0.9,0.45,0.080,1.000,0.148,0.453,1037.1,1131.9,1281.5,2592750,35080
QuasiClique,200,0.9,0.45,1.000,0.177,0.301,1.000,34.4,34.4,34.4,1219,33691
