Method,ClusterSize,InternalDensity,ExternalDensity,Precision,Recall,F1,Density,RMCScore,Runtime
L-RMC,100,0.6,0.25,1.000,0.091,0.167,1.000,74,12992
k-core,100,0.6,0.25,0.040,1.000,0.077,0.251,1375500,5
Densest,100,0.6,0.25,1.000,0.953,0.976,0.600,4432,23675
L-RMC,100,0.6,0.35,0.965,0.088,0.161,1.000,74,30325
k-core,100,0.6,0.35,0.040,1.000,0.077,0.350,1974750,2
Densest,100,0.6,0.35,0.891,0.557,0.684,0.633,2068,32257
L-RMC,100,0.6,0.45,0.054,0.005,0.009,1.000,75,42815
k-core,100,0.6,0.45,0.040,1.000,0.077,0.450,2597750,2
Densest,100,0.6,0.45,0.109,0.351,0.152,0.532,99867,41440
L-RMC,100,0.7,0.25,1.000,0.122,0.217,1.000,138,20648
k-core,100,0.7,0.25,0.040,1.000,0.077,0.251,1375500,2
Densest,100,0.7,0.25,1.000,0.994,0.997,0.697,5656,23556
L-RMC,100,0.7,0.35,1.000,0.126,0.224,1.000,147,30068
k-core,100,0.7,0.35,0.040,1.000,0.077,0.351,1974750,2
Densest,100,0.7,0.35,1.000,0.925,0.961,0.702,4933,31890
L-RMC,100,0.7,0.45,0.799,0.086,0.155,1.000,101,45788
k-core,100,0.7,0.45,0.040,1.000,0.077,0.450,2597750,2
Densest,100,0.7,0.45,0.722,0.500,0.579,0.693,4879,40857
L-RMC,100,0.8,0.25,1.000,0.167,0.286,1.000,262,20179
k-core,100,0.8,0.25,0.040,1.000,0.077,0.251,1375500,2
Densest,100,0.8,0.25,1.000,0.999,0.999,0.796,6793,23677
L-RMC,100,0.8,0.35,1.000,0.169,0.289,1.000,269,33749
k-core,100,0.8,0.35,0.040,1.000,0.077,0.351,1974750,2
Densest,100,0.8,0.35,1.000,0.985,0.992,0.797,6628,31705
L-RMC,100,0.8,0.45,1.000,0.164,0.282,1.000,253,45001
k-core,100,0.8,0.45,0.040,1.000,0.077,0.451,2597750,2
Densest,100,0.8,0.45,1.000,0.916,0.956,0.800,5747,40819
L-RMC,100,0.9,0.25,1.000,0.257,0.408,1.000,641,19680
k-core,100,0.9,0.25,0.040,1.000,0.077,0.251,1375500,2
Densest,100,0.9,0.25,1.000,0.999,0.999,0.899,8101,23388
L-RMC,100,0.9,0.35,1.000,0.259,0.411,1.000,649,30650
k-core,100,0.9,0.35,0.040,1.000,0.077,0.351,1974750,2
Densest,100,0.9,0.35,1.000,0.997,0.998,0.899,8065,31725
L-RMC,100,0.9,0.45,1.000,0.265,0.418,1.000,680,42487
k-core,100,0.9,0.45,0.040,1.000,0.077,0.451,2597750,3
Densest,100,0.9,0.45,1.000,0.979,0.989,0.900,7784,40362
L-RMC,150,0.6,0.25,1.000,0.067,0.126,1.000,92,18908
k-core,150,0.6,0.25,0.060,1.000,0.113,0.251,1378250,2
Densest,150,0.6,0.25,1.000,0.997,0.999,0.599,11086,23220
L-RMC,150,0.6,0.35,1.000,0.070,0.131,1.000,100,30119
k-core,150,0.6,0.35,0.060,1.000,0.113,0.351,1974250,2
Densest,150,0.6,0.35,0.996,0.945,0.970,0.603,10142,31509
L-RMC,150,0.6,0.45,0.248,0.016,0.030,1.000,86,46689
k-core,150,0.6,0.45,0.060,1.000,0.113,0.451,2593750,2
Densest,150,0.6,0.45,0.294,0.411,0.326,0.559,36532,41392
L-RMC,150,0.7,0.25,1.000,0.090,0.165,1.000,170,20600
k-core,150,0.7,0.25,0.060,1.000,0.113,0.252,1378250,2
Densest,150,0.7,0.25,1.000,1.000,1.000,0.698,13305,23538
L-RMC,150,0.7,0.35,1.000,0.091,0.166,1.000,173,32571
k-core,150,0.7,0.35,0.060,1.000,0.113,0.351,1974250,2
Densest,150,0.7,0.35,1.000,0.999,0.999,0.698,13258,32573
L-RMC,150,0.7,0.45,1.000,0.088,0.162,1.000,162,51206
k-core,150,0.7,0.45,0.060,1.000,0.113,0.451,2593750,2
Densest,150,0.7,0.45,0.998,0.938,0.967,0.703,12020,43285
L-RMC,150,0.8,0.25,1.000,0.126,0.224,1.000,340,19649
k-core,150,0.8,0.25,0.060,1.000,0.113,0.252,1378250,2
Densest,150,0.8,0.25,1.000,1.000,1.000,0.798,15780,25225
L-RMC,150,0.8,0.35,1.000,0.126,0.224,1.000,340,31053
k-core,150,0.8,0.35,0.060,1.000,0.113,0.352,1974250,2
Densest,150,0.8,0.35,1.000,1.000,1.000,0.798,15780,33401
L-RMC,150,0.8,0.45,1.000,0.127,0.225,1.000,344,43893
k-core,150,0.8,0.45,0.060,1.000,0.113,0.451,2593750,2
Densest,150,0.8,0.45,1.000,0.995,0.998,0.798,15691,41945
L-RMC,150,0.9,0.25,1.000,0.216,0.355,1.000,1020,19064
k-core,150,0.9,0.25,0.060,1.000,0.113,0.252,1378250,2
Densest,150,0.9,0.25,1.000,1.000,1.000,0.900,18570,23536
L-RMC,150,0.9,0.35,1.000,0.216,0.355,1.000,1020,29880
k-core,150,0.9,0.35,0.060,1.000,0.113,0.352,1974250,2
Densest,150,0.9,0.35,1.000,1.000,1.000,0.900,18570,31870
L-RMC,150,0.9,0.45,1.000,0.216,0.355,1.000,1020,43736
k-core,150,0.9,0.45,0.060,1.000,0.113,0.452,2593750,2
Densest,150,0.9,0.45,1.000,1.000,1.000,0.900,18570,40494
L-RMC,200,0.6,0.25,1.000,0.053,0.100,1.000,101,18820
k-core,200,0.6,0.25,0.080,1.000,0.148,0.252,1380750,2
Densest,200,0.6,0.25,1.000,1.000,1.000,0.599,19700,23249
L-RMC,200,0.6,0.35,1.000,0.053,0.100,1.000,100,30220
k-core,200,0.6,0.35,0.080,1.000,0.148,0.352,1980750,2
Densest,200,0.6,0.35,0.999,0.995,0.997,0.600,19583,31538
L-RMC,200,0.6,0.45,0.982,0.054,0.101,1.000,110,41628
k-core,200,0.6,0.45,0.080,1.000,0.148,0.451,2592750,2
Densest,200,0.6,0.45,0.918,0.710,0.799,0.620,13486,40750
L-RMC,200,0.7,0.25,1.000,0.072,0.134,1.000,194,19030
k-core,200,0.7,0.25,0.080,1.000,0.148,0.253,1380750,2
Densest,200,0.7,0.25,1.000,1.000,1.000,0.699,24040,23302
L-RMC,200,0.7,0.35,1.000,0.072,0.134,1.000,194,30797
k-core,200,0.7,0.35,0.080,1.000,0.148,0.352,1980750,2
Densest,200,0.7,0.35,1.000,1.000,1.000,0.699,24040,31704
L-RMC,200,0.7,0.45,1.000,0.072,0.133,1.000,192,44167
k-core,200,0.7,0.45,0.080,1.000,0.148,0.452,2592750,2
Densest,200,0.7,0.45,1.000,0.991,0.995,0.700,23665,40142
L-RMC,200,0.8,0.25,1.000,0.104,0.188,1.000,413,19587
k-core,200,0.8,0.25,0.080,1.000,0.148,0.253,1380750,2
Densest,200,0.8,0.25,1.000,1.000,1.000,0.799,28560,23438
L-RMC,200,0.8,0.35,1.000,0.104,0.188,1.000,413,30888
k-core,200,0.8,0.35,0.080,1.000,0.148,0.353,1980750,2
Densest,200,0.8,0.35,1.000,1.000,1.000,0.799,28560,31870
L-RMC,200,0.8,0.45,1.000,0.104,0.188,1.000,413,44945
k-core,200,0.8,0.45,0.080,1.000,0.148,0.452,2592750,2
Densest,200,0.8,0.45,1.000,1.000,1.000,0.799,28560,40260
L-RMC,200,0.9,0.25,1.000,0.177,0.301,1.000,1219,19466
k-core,200,0.9,0.25,0.080,1.000,0.148,0.254,1380750,2
Densest,200,0.9,0.25,1.000,1.000,1.000,0.900,33300,23507
L-RMC,200,0.9,0.35,1.000,0.177,0.301,1.000,1219,31691
