Method,ClusterSize,InternalDensity,ExternalDensity,Precision,Recall,F1,Density,RMCScore,Runtime
k-core,50,0.8,0.15,0.025,1.000,0.049,0.150,486000,5
Densest,50,0.8,0.15,1.000,1.000,1.000,0.802,1650,5851
L-RMC,50,0.9,0.01,1.000,0.420,0.592,1.000,420,90
k-core,50,0.9,0.01,1.000,1.000,1.000,0.912,2050,4
Densest,50,0.9,0.01,1.000,1.000,1.000,0.912,2050,517
L-RMC,50,0.9,0.03,1.000,0.440,0.611,1.000,462,260
k-core,50,0.9,0.03,0.025,1.000,0.049,0.031,74000,1
Densest,50,0.9,0.03,1.000,1.000,1.000,0.901,1950,1257
L-RMC,50,0.9,0.05,1.000,0.420,0.592,1.000,420,447
k-core,50,0.9,0.05,0.025,1.000,0.049,0.050,142000,1
Densest,50,0.9,0.05,1.000,1.000,1.000,0.908,1950,1981
L-RMC,50,0.9,0.07,1.000,0.420,0.592,1.000,420,681
k-core,50,0.9,0.07,0.025,1.000,0.049,0.071,204000,1
Densest,50,0.9,0.07,1.000,1.000,1.000,0.902,1900,2765
L-RMC,50,0.9,0.10,1.000,0.380,0.551,1.000,342,981
k-core,50,0.9,0.10,0.025,1.000,0.049,0.100,308000,1
Densest,50,0.9,0.10,1.000,1.000,1.000,0.900,1950,3830
L-RMC,50,0.9,0.15,1.000,0.360,0.529,1.000,306,1693
k-core,50,0.9,0.15,0.025,1.000,0.049,0.150,498000,1
Densest,50,0.9,0.15,1.000,0.980,0.990,0.892,1911,5818
L-RMC,100,0.6,0.01,1.000,0.080,0.148,1.000,56,92
k-core,100,0.6,0.01,1.000,1.000,1.000,0.594,4700,4
Densest,100,0.6,0.01,1.000,1.000,1.000,0.594,4700,538
L-RMC,100,0.6,0.03,1.000,0.090,0.165,1.000,72,261
k-core,100,0.6,0.03,0.050,1.000,0.095,0.031,70000,1
Densest,100,0.6,0.03,1.000,1.000,1.000,0.599,4700,1262
L-RMC,100,0.6,0.05,1.000,0.100,0.182,1.000,90,446
k-core,100,0.6,0.05,0.050,1.000,0.095,0.051,136000,1
Densest,100,0.6,0.05,1.000,1.000,1.000,0.604,5100,2024
L-RMC,100,0.6,0.07,1.000,0.090,0.165,1.000,72,654
k-core,100,0.6,0.07,0.050,1.000,0.095,0.071,202000,1
Densest,100,0.6,0.07,1.000,1.000,1.000,0.601,4900,2825
L-RMC,100,0.6,0.10,1.000,0.090,0.165,1.000,72,1005
k-core,100,0.6,0.10,0.050,1.000,0.095,0.101,302000,1
Densest,100,0.6,0.10,1.000,1.000,1.000,0.602,4600,3894
L-RMC,100,0.6,0.15,1.000,0.100,0.182,1.000,90,1604
k-core,100,0.6,0.15,0.050,1.000,0.095,0.151,484000,1
Densest,100,0.6,0.15,1.000,1.000,1.000,0.613,4800,5888
L-RMC,100,0.8,0.01,1.000,0.170,0.291,1.000,272,96
k-core,100,0.8,0.01,1.000,1.000,1.000,0.805,6800,4
Densest,100,0.8,0.01,1.000,1.000,1.000,0.805,6800,551
L-RMC,100,0.8,0.03,1.000,0.190,0.319,1.000,342,267
k-core,100,0.8,0.03,0.050,1.000,0.095,0.032,74000,1
Densest,100,0.8,0.03,1.000,1.000,1.000,0.807,7100,1290
L-RMC,100,0.8,0.05,1.000,0.180,0.305,1.000,306,453
k-core,100,0.8,0.05,0.050,1.000,0.095,0.052,142000,1
Densest,100,0.8,0.05,1.000,1.000,1.000,0.806,7100,2018
L-RMC,100,0.8,0.07,1.000,0.140,0.246,1.000,182,652
k-core,100,0.8,0.07,0.050,1.000,0.095,0.072,206000,1
Densest,100,0.8,0.07,1.000,1.000,1.000,0.793,7000,2739
L-RMC,100,0.8,0.10,1.000,0.150,0.261,1.000,210,994
k-core,100,0.8,0.10,0.050,1.000,0.095,0.102,316000,1
Densest,100,0.8,0.10,1.000,1.000,1.000,0.791,6800,3855
L-RMC,100,0.8,0.15,1.000,0.170,0.291,1.000,272,1700
k-core,100,0.8,0.15,0.050,1.000,0.095,0.151,480000,5
Densest,100,0.8,0.15,1.000,1.000,1.000,0.801,6900,5814
L-RMC,100,0.9,0.01,1.000,0.240,0.387,1.000,552,97
k-core,100,0.9,0.01,1.000,1.000,1.000,0.898,7900,4
Densest,100,0.9,0.01,1.000,1.000,1.000,0.898,7900,569
L-RMC,100,0.9,0.03,1.000,0.300,0.462,1.000,870,266
k-core,100,0.9,0.03,0.050,1.000,0.095,0.032,70000,1
Densest,100,0.9,0.03,1.000,1.000,1.000,0.901,8000,1305
L-RMC,100,0.9,0.05,1.000,0.280,0.438,1.000,756,458
k-core,100,0.9,0.05,0.050,1.000,0.095,0.052,142000,1
Densest,100,0.9,0.05,1.000,1.000,1.000,0.899,8300,2023
L-RMC,100,0.9,0.07,1.000,0.260,0.413,1.000,650,654
k-core,100,0.9,0.07,0.050,1.000,0.095,0.072,204000,1
Densest,100,0.9,0.07,1.000,1.000,1.000,0.900,8300,2761
L-RMC,100,0.9,0.10,1.000,0.310,0.473,1.000,930,997
k-core,100,0.9,0.10,0.050,1.000,0.095,0.102,322000,1
Densest,100,0.9,0.10,1.000,1.000,1.000,0.904,8200,3872
L-RMC,100,0.9,0.15,1.000,0.270,0.425,1.000,702,1685
k-core,100,0.9,0.15,0.050,1.000,0.095,0.152,494000,1
Densest,100,0.9,0.15,1.000,1.000,1.000,0.898,7800,5833
