Method,ClusterSize,InternalDensity,ExternalDensity,Precision,Recall,F1,Density,RMCScore,Runtime
L-RMC,100,0.8,0.25,1.000,0.160,0.276,1.000,240,12080
k-core,100,0.8,0.25,0.040,1.000,0.077,0.251,1372500,15
Densest,100,0.8,0.25,1.000,1.000,1.000,0.794,6800,20226
L-RMC,100,0.8,0.30,1.000,0.170,0.291,1.000,272,16729
k-core,100,0.8,0.30,0.040,1.000,0.077,0.301,1670000,2
Densest,100,0.8,0.30,1.000,0.990,0.995,0.799,6633,23300
L-RMC,100,0.8,0.40,1.000,0.180,0.305,1.000,306,18692
k-core,100,0.8,0.40,0.040,1.000,0.077,0.400,2277500,2
Densest,100,0.8,0.40,1.000,0.960,0.980,0.802,6336,30247
L-RMC,100,0.9,0.15,1.000,0.270,0.425,1.000,702,6508
k-core,100,0.9,0.15,0.040,1.000,0.077,0.151,805000,2
Densest,100,0.9,0.15,1.000,1.000,1.000,0.901,8100,11642
L-RMC,100,0.9,0.25,1.000,0.270,0.425,1.000,702,10574
k-core,100,0.9,0.25,0.040,1.000,0.077,0.251,1395000,9
Densest,100,0.9,0.25,1.000,1.000,1.000,0.892,7900,19633
L-RMC,100,0.9,0.30,1.000,0.300,0.462,1.000,870,14007
k-core,100,0.9,0.30,0.040,1.000,0.077,0.301,1685000,10
Densest,100,0.9,0.30,1.000,1.000,1.000,0.901,8200,23321
L-RMC,100,0.9,0.40,1.000,0.270,0.425,1.000,702,17992
k-core,100,0.9,0.40,0.040,1.000,0.077,0.401,2272500,2
Densest,100,0.9,0.40,1.000,1.000,1.000,0.900,8000,30918
